R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
678,736,2335943193,171647049,10145,386556,1668014,426542864,3,8,9,10,50459,2876
679,736,2271350999,175558573,10827,480587,2223785,996640088,3,8,10,10,46876,4249
697,823,2326445817,871142889,32271,2966072,5525719,459021696,26,9,17,8,79833,13065
698,823,2333119870,924150821,33702,2867274,5505857,833140560,26,9,17,8,79833,13312
737,766,2400709865,1196111618,51057,2438330,9676283,418773480,27,8,9,8,69169,7291
756,823,2181187103,882805595,38089,2907429,5177150,765242480,30,9,17,8,47653,11683
757,823,2304235628,1029441578,56014,3881679,6399314,260250016,31,9,17,8,87851,10688
760,823,2292270610,783524159,42541,1412521,4961811,580235320,31,12,20,8,90107,6932
761,823,2453047343,875287576,44840,1198206,5299112,900249560,36,8,16,8,92135,5641
762,823,2371059831,785729581,44383,1252678,5180484,350474856,36,8,16,8,92466,5129
789,823,2340372129,788351086,41354,1651261,4951508,678045736,29,12,20,8,89597,8022
251,312,2062492871,140279002,10787,765200,4092643,776321864,5,7,4,7,24713,6275
282,375,2328840777,412031183,22646,1888990,4704560,136910144,19,6,4,6,27187,6972
283,347,2212296285,351113777,18064,1468282,6328738,312226296,14,7,9,7,23136,8092
283,376,2203616836,421821016,24511,1169862,5013495,487552456,20,7,9,7,30301,6968
283,377,2192920855,428729286,23625,1234975,5392268,662869104,20,7,9,7,30301,7316
312,341,2399844871,64507498,10705,290521,968941,694746848,5,7,7,7,19329,2210
312,343,2330437167,379981284,42045,1356322,14779664,870060008,35,7,3,7,59073,7231
312,638,2402497528,621301763,34398,1792397,5580554,303514032,30,7,12,5,57048,11850
312,668,2546686788,613633339,34965,1845635,5532882,567324664,29,8,14,6,57048,12182
312,697,2392440095,655178551,33822,2021652,7367053,815618216,29,7,12,5,56641,13294
312,698,2332023824,623743082,33127,2348077,5713526,296441440,29,7,12,5,56641,12553
312,727,2349642281,672166309,35126,2285821,5654960,553309504,29,7,12,5,55744,13558
312,759,2300658644,1014376242,32820,5522108,27752258,172218608,27,7,31,24,47772,19609
314,347,2308256633,414428742,21490,1365573,6110565,363619864,18,7,8,7,29617,7156
342,760,2519963558,1039874170,38347,4107550,27080828,761111792,32,7,26,23,77173,21947
342,761,2404769445,1050881605,37216,4293441,28519108,430851264,32,7,27,23,77173,22274
377,707,2268719219,230295760,11615,1152356,7247370,545624944,7,7,7,7,45396,9015
378,556,2269744877,5201720953,19178,3653738,5173935,409535752,14,7,15,8,49218,15767
378,586,2379304318,5336804455,18353,3836072,6838464,847349120,14,7,15,8,49218,16584
378,707,2338151769,274477566,11801,1210254,6347544,974667536,6,7,8,8,46530,9404
401,760,2290148576,1135218725,40525,5621959,24262244,598810192,33,7,26,22,88254,19618
401,761,2337510757,987619188,38050,3639574,22981260,980765184,33,7,27,22,88254,19952
408,706,2292357471,2672213828,11466,2519988,5192949,633413440,5,7,11,8,47566,14564
408,707,2201192866,252896822,12226,1304681,6040212,774665728,6,7,8,8,46530,9712
438,527,2441898056,215421963,13665,518164,3006943,868834288,9,7,5,7,94337,3728
467,586,2378347030,1304969741,47460,2036826,2251848,601765944,33,10,10,7,89669,9619
467,616,2354442981,1311332384,42586,2019675,2299122,1155855320,31,10,10,7,85942,11459
526,646,2291324887,2372770741,117640,4066469,34347110,570702368,73,7,3,7,116843,13311
528,677,2184762165,200131644,12134,1607631,6534665,684909640,6,7,8,7,31475,8935
556,737,2400840934,432962505,10217,1219873,3425988,929619072,3,7,16,10,32981,9893
557,737,2555361956,1529722362,25572,2215277,10725356,659277928,20,7,15,12,67503,11671
557,795,2383763198,517118547,10424,1205575,3714021,904002632,3,7,12,9,53586,11009
586,737,2427960107,589523664,10275,1111529,2195809,1181393232,3,7,12,8,35478,8731
586,766,2546678689,1867938403,42937,3260693,59252241,1162264288,35,7,2,7,102999,19617
587,795,2310069010,529679758,10007,1526291,4050030,566843056,3,7,14,10,39217,11015
616,766,2478140328,2012355374,47477,4119124,66555333,551163968,36,7,2,7,103678,18798
616,767,2428895186,671933864,10421,1317993,2335265,875106480,3,7,13,8,31495,10583
617,795,2370142643,505871224,7310,931016,2582607,1130863608,3,7,14,10,40005,10849
621,623,2275486218,24361796,10695,221051,350013,1147912208,3,7,8,7,14100,880
646,649,2450485261,234273209,10264,731553,2677621,1250213864,4,7,4,8,29298,4925
646,650,2812206688,228669163,11736,880945,3288099,482010080,4,7,8,9,29298,5373
646,795,2594005820,540639384,18233,1604721,14170919,737764744,14,7,7,7,85130,10077
647,796,2385814453,906890654,21921,1982759,12338789,1146959672,17,7,6,7,76857,12426
648,651,2165329294,228687383,15757,935078,3939299,415301016,10,7,10,8,47655,4220
648,681,2245873554,161226145,14381,557751,943864,498198208,10,7,9,8,47655,2987
648,707,2209082057,98254761,13237,541395,3225369,547933696,8,7,5,7,45057,3899
651,679,2373189896,4256499053,122407,4194583,24715622,536828392,75,7,7,7,159112,12836
676,737,2508713327,373340432,11288,1151329,3354112,729478520,4,7,9,8,44690,8605
