R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
562,593,4185601694,2548883152,34798964,17178376,284940469,222728424,215,341,109,341,40802,7416
561,593,2137078231,2921212596,3429397,5774278,371716634,555842200,179,276,120,275,31346,10678
593,623,2155869009,129218889,975485,90572,165975,56971648,3,4,3,4,27892,219
593,624,2082934035,602148239,4873528,1574799,40729695,226331432,144,148,5,148,25863,3361
505,535,2190114427,142835659,469626,105371,171978,302679656,5,2,1,2,56640,295
530,560,2199123740,362336560,1262563,174227,890423,483887168,30,11,10,11,66761,435
537,567,2018877143,63611065,427714,183095,247331,515632832,15,1,0,1,28142,490
500,530,2010137135,142138795,71017,68188,67877,64872816,1,3,1,3,33180,113
505,533,2154958678,1393898255,1769693,3042500,148467992,554265000,226,146,119,149,41971,7054
560,591,2135876046,546236801,1727555,2207136,61657207,733608456,145,146,74,144,32063,4006
533,562,2109045136,293303613,786281,1627374,19230185,850389672,117,125,2,125,17042,3484
560,593,2172441410,2789031810,1156369,8118339,110756336,791490272,127,173,105,184,21481,12676
594,625,2127633836,527550918,2131031,1786705,38855824,1008318952,260,142,0,142,29421,3653
502,532,2046611195,105457260,32575,72282,33110,63142208,1,3,0,3,28687,55
625,656,2082043530,1028381518,2571221,3190594,55234728,417517584,273,138,3,136,28299,4580
501,561,2211965674,1471122669,2377656,3096429,123082022,832711656,163,157,94,166,22644,6993
530,535,2227034322,1966609859,421172,3492594,286719899,471372344,78,101,121,65,18213,11803
531,561,2141168971,161883915,107323,136098,423578,566134128,9,8,1,7,37825,459
562,594,2123338073,759551806,842938,1706695,50410704,832571256,109,152,37,152,22998,6334
593,625,2143095241,722492563,688186,1649802,56031440,105242680,108,122,12,124,22335,6077
530,562,2291116300,2033543420,1920072,4490647,108651084,780583736,240,144,2,144,26934,9789
475,534,2122221290,829433670,688049,1964021,50964075,139100800,73,159,79,184,26802,6213
468,499,2103802469,1508759413,1725668,2164084,11202137,614783680,305,41,28,40,26300,4222
505,534,2229772039,754071081,2120065,1761639,8184911,878443736,391,5,3,4,49748,3366
434,467,2118928047,961771221,671138,2080271,85361059,330585600,100,104,188,188,18737,7239
561,592,2141028656,498269551,1914381,828047,29931357,517345392,323,48,39,46,31046,2876
597,626,2046545945,657612550,1070086,1245564,25816695,771111656,119,177,68,176,17872,4664
532,562,2090848397,79468918,156364,219545,1272600,804946544,38,8,3,8,23520,897
656,687,2087964429,1428857188,1986470,1635063,22539252,484046976,255,132,57,80,25852,5343
471,501,2004663220,57897385,22684,47277,55467,516627968,1,2,1,2,23701,166
597,627,2030329391,99082514,51623,44457,48274,565498208,6,3,0,3,36345,82
597,628,2040603322,454461139,618286,1041362,20415157,744696072,104,117,50,110,26779,4113
687,717,2091317071,113840930,180058,305248,4001013,793733272,29,50,34,44,21173,1786
416,505,2020856342,1842242349,889780,2065661,12659182,642275000,234,10,10,11,34353,9072
530,593,2123580276,1868646240,828292,2522486,72482544,487228760,125,128,78,127,19056,11390
325,475,2012795875,1697001288,486151,2396320,69012095,317257560,78,115,153,150,27865,13005
325,505,1988488788,1955228242,412188,2814818,35958025,258572568,77,99,108,100,25777,14282
325,445,1988562644,1289470329,485257,1795132,36707069,722455496,78,118,157,120,28600,10436
435,467,1983262759,881926062,721865,1240470,3092807,296923480,119,110,110,2,20793,4815
530,534,2151580951,2905932510,957635,3820287,50182685,625606416,184,89,99,74,29328,13140
688,718,2071266645,69299712,35061,49501,65014,665068248,2,5,2,4,26329,138
560,592,2122401136,2221736489,1703087,2408143,78165230,145278424,238,118,23,116,28998,9148
567,598,1988524279,200637621,548188,728135,13262847,218304328,76,133,5,133,19107,2861
596,625,2027777475,439020453,744623,1078861,22044725,376524184,97,141,2,141,17252,3647
475,535,2206043533,537248957,756890,1187621,34765927,571297960,123,124,65,124,32631,4501
687,718,2057287566,287306494,470110,716653,10414561,81104688,75,108,42,104,21325,2811
531,563,2078725933,1059904977,723178,1632612,30754258,457234688,147,86,69,86,17604,6003
626,655,2007753725,615267927,894435,1309260,26088335,97990640,147,116,13,111,16772,4249
325,415,1977734215,1082521532,501081,1580716,30104859,495553728,79,121,125,123,29226,8993
445,475,2075709060,116608538,30573,38442,53477,552328704,1,3,1,3,46715,87
533,565,2110210440,814401609,831259,1929899,71638809,289532072,131,122,8,121,22734,7588
475,533,2051959070,658144734,441886,1270105,38296496,542019216,78,110,59,118,21449,7179
534,565,2085220898,858816028,1471036,1892643,76052734,314640296,205,123,3,123,28032,6528
504,532,1953544358,832938438,784840,1868033,24340816,121881512,208,30,30,22,29472,4846
475,504,2011085836,368945590,451566,1006565,22365430,255342712,79,110,96,109,14501,3755
530,561,2162768322,1071806940,8772002,1662294,223690330,161154128,519,148,13,148,56124,5164
626,656,2110418429,181235944,50543,50093,56094,250521080,2,2,3,2,32722,122
596,628,2077710268,1045430753,812692,1466273,16458657,111457280,198,49,48,23,24301,5547
356,445,2042641764,1478175939,805570,2639272,17591094,139183896,220,10,12,11,34196,7586
562,624,2361415529,729188515,504208,1727982,65747274,390588952,89,110,12,111,16954,6741
562,625,2038308884,673333955,396453,1524746,57558318,135569504,69,104,32,107,13692,7714
595,656,2149554450,852268824,687443,1678486,58512541,424158048,154,65,36,58,14988,6664
655,684,2131392283,163148758,392708,756762,10691513,487284904,54,118,20,116,10706,2665
415,535,2127711112,1179162647,483448,1807963,41788875,436436824,107,80,72,92,28042,8619
500,561,1972417884,411777433,443895,997304,29769072,151899672,56,132,97,140,13856,5223
656,686,2030033901,260872128,251453,657757,9063747,269846928,63,37,29,34,35617,3087
501,531,2013423098,138275234,439456,330755,4963492,337236336,50,57,7,56,30425,1381
500,560,2004459519,376168729,417781,855205,19918001,480465112,61,120,120,128,14316,4018
562,591,2071988706,229262509,545457,747459,13358681,146216128,96,110,79,106,20783,2793
687,716,2029433102,314436195,520865,710540,11985304,269168816,162,42,33,26,14239,2840
521,553,1979011435,1108066278,791517,1743603,8880368,235890976,218,17,19,9,19058,5929
501,562,2037988022,673115938,600707,1318926,41439006,474919480,153,61,33,60,16133,5499
531,535,2119200101,1862379376,622043,3658319,40208258,335667144,117,98,141,68,23178,10745
534,596,2021044018,1381856561,758270,2043060,85551025,449484376,142,101,99,95,21236,9182
646,650,2015689722,1615388286,655984,2321840,5146165,322702768,203,6,6,6,19346,9322
658,688,2072884330,169564365,303305,462457,8607834,402078464,61,61,7,60,28358,1988
505,530,2082428567,882101669,237791,2062987,10315313,318585144,106,23,32,16,23399,7969
533,596,2093806821,1007159725,479187,2262532,55567759,244336440,93,97,98,95,20953,9069
623,654,2013243379,247573982,511250,768219,15773314,341579784,119,81,1,81,15651,2772
445,535,2026591388,840707480,566352,1618906,43402702,209364080,116,93,61,92,29691,6658
533,563,2097877614,100671737,190986,192814,777845,261970976,28,22,20,22,25479,881
500,562,1977052870,209656720,189110,698994,9863117,424862120,22,97,77,103,8120,4968
681,711,2076117769,119794835,51724,22871,39956,493427392,4,3,2,3,38982,49
567,597,2026243220,48393763,69725,117263,626958,544846640,14,9,7,9,16325,884
596,626,2102812496,195980905,329600,417911,5866522,194981896,68,18,3,18,40360,2067
415,475,2052851335,976120984,1477986,1455523,57786559,544926656,241,90,92,91,42194,5431
521,554,1954685369,1428756587,854354,1861721,13344429,240623816,223,13,16,12,19701,7569
535,597,2030016677,1191138106,695891,2312242,56367823,216561264,156,72,40,72,26862,8037
325,416,2013802458,811202465,387364,1070819,17036551,520162648,80,91,99,91,27085,6385
530,563,2171393250,334658677,238506,1124240,23895271,647370936,42,92,46,90,10554,6421
594,656,2054320588,852998193,713611,1599660,69684368,440622544,136,91,6,89,18160,6994
595,626,2114324027,1056505134,1578299,1824946,106973018,361385448,206,144,2,142,42550,7521
502,562,2016706249,298877837,404334,789645,27663853,471708344,82,96,21,96,11224,3851
614,648,1950277482,1312892730,465362,2217168,17018956,470200696,168,10,11,11,15375,8562
562,622,2043244415,176453498,207861,558963,15634332,541445912,61,61,26,63,7898,3164
472,532,1983329286,289707862,498517,856997,27313245,204933744,97,92,4,92,14775,3401
