R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
593,562,4878631444,665224088,10629992,5843946,58271128,149711944,79,41,2,41,40802,1148
593,561,2215123262,187880820,1998817,2269919,80044872,203407416,35,26,16,26,31346,1620
623,593,2076117506,137424394,357854,386246,373982,230253592,3,5,1,5,27892,208
624,593,2312239003,224777815,12562419,2346156,17131481,57746520,124,56,4,55,25863,1808
535,505,2343372683,142969964,455457,39881,33615,129902200,1,1,0,1,56640,13
560,530,2231068982,123978829,419549,181916,89179,205295400,4,2,1,2,66761,160
530,500,2274689114,56017637,193115,144240,150910,274978624,2,4,2,4,33180,144
533,505,2425226384,775740616,9758379,4190045,211241240,289586960,166,75,94,41,41971,4320
591,560,2420887733,425071422,2207543,1146652,10328032,158285544,106,90,91,71,32063,2762
562,533,2216902644,46471818,138194,344006,762298,179251120,11,27,0,27,17042,1152
593,560,2238429201,48777598,83919,247205,732777,207221848,6,17,12,15,21481,1107
625,594,2168847828,334312970,867610,990680,8729209,49727856,118,31,6,28,29421,2396
532,502,2209509476,74416564,247139,193698,66773,93048304,74,1,0,1,28687,368
656,625,2106932202,284602504,413748,873586,8445824,198529592,146,23,25,18,28299,2109
561,501,2162500421,83323343,100241,649300,4111909,231315392,25,28,2,28,22644,1153
561,531,2304434902,90957285,164335,433267,2633591,122789104,43,43,0,43,37825,1075
594,562,2227993093,340161521,265286,1671225,12973502,233906768,58,81,19,81,22998,4094
625,593,2041791208,363520078,213291,732459,4884899,73021120,100,14,6,12,22335,2540
562,530,2193138541,147003168,78402,408368,2958130,125039344,56,6,5,6,26934,1793
534,475,2072574226,240881821,187180,741258,6898657,217519816,86,22,8,23,26802,2651
499,468,2118391339,55885631,44744,168684,361703,247221784,32,10,10,10,26300,442
534,505,2273925408,452062929,1324811,3516804,31478278,130121752,158,163,60,171,49748,3098
467,434,2147030996,42101944,23798,326219,713293,148035888,11,15,15,15,18737,1039
592,561,2111032725,146504872,327128,550274,10128875,211786592,85,72,69,73,31046,1730
626,597,2007254036,41598237,66800,194877,948228,235489064,50,6,3,6,17872,609
562,532,2198068672,65955749,43329,153265,479028,264464080,9,2,2,1,23520,494
687,656,2118891658,225602261,628628,1264869,7529099,60589088,191,11,8,9,25852,1480
627,597,2067901955,65612695,40275,235039,360943,128483960,6,7,3,7,36345,582
628,597,2160138099,173778748,606464,1049273,11736053,202048832,119,82,14,82,26779,2082
717,687,2080866272,51599720,70703,106667,298836,230340104,6,18,6,15,21173,365
505,416,2194083699,610774609,291041,1850413,7531560,161635664,124,12,12,13,34353,4992
593,530,2199577461,67617257,27770,326018,1105172,190307008,18,11,11,11,19056,1414
475,325,2158490580,334314243,92200,1792638,3692935,315001560,55,15,16,15,27865,5194
505,325,2252401832,346049107,80131,1036111,3522848,150734496,49,16,18,16,25777,5749
445,325,2224011600,358623279,102302,850584,3703221,278837024,60,15,16,15,28600,4502
467,435,2104150682,59582229,38716,264081,737172,30242712,15,16,19,16,20793,816
534,530,2112154413,755650821,258421,1630473,15021415,302972312,84,51,89,47,29328,6529
718,688,2098775813,74842008,96772,218132,1278653,61593680,25,12,4,12,26329,1072
592,560,2086573885,125444001,123100,468156,5893202,117219712,56,30,26,34,28998,2109
598,567,2047055356,247567397,722276,846844,12403998,189087600,66,115,32,116,19107,1984
625,596,2119977798,100049063,145205,403639,3501814,227781784,42,55,2,55,17252,1508
535,475,2214468268,305899055,360641,787096,12358828,74227376,88,76,72,77,32631,2935
718,687,2077390232,186551216,856282,543552,20714098,146189688,139,67,40,75,21325,2014
563,531,2212189959,65588704,67328,422554,2863279,173831576,29,31,9,31,17604,1716
655,626,2175080994,128620731,121795,498410,1284487,229119664,86,8,9,3,16772,1339
415,325,2075097394,436660734,175883,1522803,8599892,81006336,61,18,17,18,29226,4466
565,533,2043538774,279942125,218939,1205823,17550067,238126208,65,61,69,65,22734,4653
533,475,2069067029,172250565,100987,661896,3904091,310981400,59,15,13,15,21449,2797
565,534,2066059348,282150924,382413,1032568,22905292,134129560,101,68,65,68,28032,3443
502,472,2034980808,41913482,13470,39087,56965,151034104,1,3,2,3,17842,70
532,504,2178590825,842322306,1145480,2895476,9728096,170480960,185,15,16,8,29472,4687
504,475,2307028383,23005492,10269,73110,138581,187575080,6,6,1,5,14501,233
561,530,2227955021,144625717,427861,229294,2844830,261410184,118,12,1,12,56124,702
656,626,2235919584,211189581,187368,775743,5837496,49967688,61,16,4,16,32722,2122
628,596,2133280774,278814664,243764,904083,12481683,146539256,53,79,68,81,24301,3076
445,356,2187715815,633046523,317023,1225888,12368011,71089232,129,12,7,10,34196,4637
624,562,2088093249,160746063,170263,850227,10585095,123253776,51,27,1,26,16954,2375
625,562,2193852191,103908400,50510,338976,921044,158033584,42,4,2,4,13692,1818
656,595,2076106555,103440538,60096,443382,3094291,192831944,32,7,3,7,14988,1754
684,655,2069408321,60136404,81305,298917,2284725,221813448,25,44,42,38,10706,1239
535,415,2076595796,657791719,264797,1200264,10930998,159466232,83,52,53,54,28042,6162
561,500,2118527007,35325543,35672,215046,1152310,176856160,18,19,17,19,13856,956
686,656,2145085102,258188172,56771,66222,77217,298641800,1,5,0,5,35617,300
531,501,2168449685,69651584,25872,31036,30546,31755936,1,2,0,2,30425,24
560,500,2191795195,36633487,35366,183847,1084934,55365880,18,20,13,20,14316,843
591,562,2095076359,319013970,599826,1078176,9261985,167520760,139,21,17,17,20783,2446
716,687,2121122362,163691368,114889,501420,3427134,220654696,36,51,29,49,14239,2177
562,501,2099503028,75222921,107375,419974,1246835,267876192,49,5,4,4,16133,1096
535,531,2105794171,506974213,203887,1424117,8526902,157423368,82,28,33,21,23178,5948
596,534,2130665026,273075659,183415,927346,18338894,263679808,50,64,11,64,21236,4772
650,646,2083252163,70613259,42893,384098,2498049,299094328,31,12,2,10,19346,2057
688,658,2045993086,97818403,67992,79712,104850,49089536,4,4,4,3,28358,194
530,505,2211017747,1658859084,379255,2959724,61428876,321828712,101,68,102,83,23399,10575
596,533,2094918857,531701163,308808,1474911,40440603,190538240,73,80,4,80,20953,7557
654,623,2046070726,61381606,90599,288538,2106463,220159800,48,25,2,25,15651,1107
535,445,2212844701,468032272,295471,928387,10220981,103019936,86,58,57,58,29691,4500
562,500,2152952140,15483175,11085,101375,519786,209671184,6,8,1,8,8120,859
711,681,2053196147,75577444,47313,73883,151291,257105672,6,8,4,7,38982,214
471,441,2062314306,27473276,6461,21476,26138,274882144,1,1,0,1,17847,49
597,567,2167594477,45398897,31628,67357,57804,292666416,6,2,0,2,16325,114
475,415,2052329093,367087337,422279,770154,8965302,220417032,145,22,12,26,42194,2762
597,535,2021579303,517055619,512332,1296372,42968886,133048536,77,120,74,120,26862,6200
416,325,2079419709,278593201,117665,656913,4591478,241762968,64,19,20,19,27085,3616
563,530,2199676115,27613611,22172,228642,618283,253840768,6,20,13,22,10554,1197
656,594,2067916288,275244982,145954,825543,14684383,58505008,75,20,6,20,18160,3903
626,595,2091236635,554918569,2950707,1154424,1048173,279080752,437,4,3,2,42550,1735
562,502,2089873534,27486158,29256,318424,659064,294424736,25,8,8,8,11224,658
648,614,2245712426,34408855,15526,182016,209543,312793784,14,4,5,4,15375,831
622,562,2077756917,11862832,5935,52281,97944,325039624,2,5,3,5,7898,262
532,472,2053173145,66388729,93468,367323,3375788,42571808,36,36,3,36,14775,1313
505,475,2115833107,98953038,23398,40863,50022,105587664,2,3,4,1,53328,103
560,531,2195275326,115660489,156500,493988,7226096,154397440,59,44,24,46,22362,1955
567,536,2059161708,111955101,348293,576685,7092901,203216384,79,76,2,76,15778,1522
686,655,2079928942,349334804,503291,965750,11725645,319166248,108,83,9,80,18756,2701
680,676,2249260116,102065958,53763,598517,1592783,55446248,45,5,1,5,15843,2353
530,498,2318688076,88035646,54291,406135,1248350,99792064,46,5,2,5,30265,1198
565,530,2122393013,241382849,85324,1773111,7476097,179708584,28,25,49,40,12043,4576
650,561,2275897656,1105597404,567284,3762001,40901342,248984480,162,34,23,34,25462,6694
535,504,2115002226,231149265,354910,598556,6041200,323627704,139,25,11,24,22592,1902
563,532,2074034440,269797482,324183,657766,8652005,99275848,109,42,5,41,16631,2527
563,535,2064240678,208080999,137845,590076,3247432,167986144,87,5,1,5,12961,2116
594,563,2070629340,909254651,1480173,1802715,51595372,189943848,202,131,0,131,37743,5615
535,325,2052778228,334293753,70291,873988,3536759,314281000,36,25,25,34,19045,6288
567,479,1984553185,242289479,112026,586810,90902,105991144,74,5,5,0,15856,2951
655,624,2017548602,234983480,454767,653185,10176481,199269040,110,73,9,72,21081,2320
681,650,2107928242,72699988,142610,400624,1518368,224080200,29,45,37,45,12994,880
531,500,2173165093,26820572,24950,136828,430975,236494904,16,15,4,15,13988,464
530,504,2154962752,1197967042,331065,2362292,9400513,334246032,128,23,36,16,20572,8170
536,506,2019933952,28626785,15340,41568,66607,35824656,2,5,6,4,13070,125
568,537,2011603983,123013147,240589,439049,4494676,86182688,78,54,1,54,16557,1559
625,563,2074477400,183557989,107172,539618,6890430,299828024,59,19,6,17,19235,2992
715,711,2015716718,46675282,27879,359411,1209360,318674144,11,22,10,22,14083,1825
386,325,2069668002,245675699,123177,606106,4429549,95150360,66,20,19,19,27659,2630
747,718,2059835146,49945261,99783,273912,1380447,120363888,15,69,54,66,10887,1243
468,435,2024796594,52374716,22575,243948,530749,139217040,11,9,11,9,16373,798
627,534,2072708457,145544389,64712,758496,6234600,195781360,35,23,16,22,13756,4014
710,680,2143263710,398109861,179777,70469,88926,71983216,7,4,3,4,61158,174
535,416,2078396613,719190379,245582,1266614,10916420,332568320,82,49,51,52,26222,6814
534,445,2072308347,280431967,148023,774879,4657939,132221304,84,10,5,10,22353,3529
657,626,2076891374,1037527956,2330701,2700406,6375929,186685728,381,3,2,4,31875,3263
561,471,2119096190,40152639,34335,285969,1464646,211419464,13,25,7,18,15014,1396
567,508,2103312198,194853957,149794,692498,3287317,273267448,90,7,0,7,18407,1863
649,614,2032713110,35805864,14911,241291,264906,291820168,14,4,5,4,13511,1090
475,416,2112962678,487151645,351648,1261700,5773820,154395016,142,8,9,10,35707,3419
685,655,2052315900,57563105,96774,296372,1283083,185320616,25,11,10,5,20226,734
356,325,2113310868,131245751,181520,436456,3411153,247177496,68,43,15,44,36592,1539
627,533,2068670603,272581866,126691,1960708,24336816,35485144,44,46,2,46,13607,6371
598,568,1977533057,27553011,29610,112185,201585,54299816,8,10,2,10,14177,291
658,629,2011039702,140934967,352309,624457,9346155,104452352,126,28,0,28,13002,1575
533,445,2111520683,196544797,83755,760182,2326831,185949912,56,9,9,8,17952,3344
595,531,2094566084,28574943,16541,199430,1095374,198497824,9,12,13,12,12706,1324
595,532,2086864915,227551018,119534,730894,6605914,286269576,59,18,17,17,16081,3421
595,533,2068579588,314241244,195013,674774,3912151,84086312,102,6,1,6,20884,2998
596,567,2128732000,71277700,183590,433587,3479165,115438832,57,27,2,27,13212,1134
565,532,2172670716,276175288,113673,1024482,7597302,209488600,64,18,23,20,15992,4336
687,658,2131870964,43771662,176506,225351,2524129,234564392,63,9,3,9,16720,570
535,386,2078613868,900366063,247349,1537001,11221096,241284184,80,49,52,52,25604,8188
565,531,2047028968,312219447,104011,1353320,8118678,36341408,57,19,29,17,14769,5132
591,559,2135801460,186284039,112834,532303,1476440,93253984,67,10,9,8,14471,2014
657,627,2125592789,217574582,179600,170780,335309,175449576,28,3,5,3,33595,753
651,621,2121184817,55710621,41378,86662,101979,213384416,13,2,3,3,27089,279
679,675,2027502894,41101562,23054,224134,504559,232352776,21,6,0,6,15840,1227
415,265,2042982445,480792458,126313,1238902,2509177,89804688,76,7,10,7,19771,5845
561,533,2148651892,57630573,46898,339809,1386669,115351384,8,41,30,42,10463,1774
626,565,2116852132,108723924,100167,403138,3039420,153662544,46,11,6,10,14556,1481
655,593,2108797132,282359415,187879,723767,16007282,249451112,73,36,8,36,15735,3542
650,614,2106271274,35394794,14128,234931,233389,268608688,13,4,5,4,12578,1268
468,434,2000297100,33997488,13260,189540,521166,287774664,8,10,12,10,14652,980
505,445,2110181829,288675162,349800,664951,5794214,83076128,132,20,8,19,40436,2444
624,561,2137642246,85578765,38500,313033,3070555,108622736,24,17,11,17,13373,1849
644,613,2121867028,105780564,123465,405869,4318033,159705968,62,27,26,26,26678,1518
595,530,2111032460,28198852,13143,208123,756080,172486864,4,8,11,11,10433,948
628,565,2067848729,171192444,113796,598454,8147358,242731512,50,32,29,32,17929,2969
533,416,2075680284,308516111,74490,942581,1355840,332129248,54,7,7,6,16486,4309
537,508,1989290347,105689661,203534,330173,1006366,51850720,52,70,47,23,20738,1182
621,562,2076455507,209408549,138355,673122,7645518,135270208,62,32,29,30,13807,3046
621,590,2089674309,27641998,62224,186796,883953,154531656,27,32,30,30,9031,698
686,658,2083348541,47512321,52945,316977,1024737,173781200,14,39,20,29,9923,1416
475,265,2102248398,557864725,104932,1334931,2564777,40933000,67,8,12,8,18687,6684
535,356,2091902610,873237974,198477,1493517,9342077,329713456,71,42,46,45,24711,8577
565,505,2118697621,237693489,269672,693534,8720934,108420536,117,13,14,12,28098,2312
596,530,2116527218,148842344,42000,765396,5409792,165990776,16,29,45,46,9941,4593
623,592,2049983845,50942924,74345,200742,847012,191576096,53,8,1,7,17291,738
410,350,1998145096,38431658,61710,235150,1985168,210766256,29,27,0,27,12475,964
534,415,2085129241,358489100,133414,899081,3554947,345083248,81,6,6,7,21104,4487
596,505,2088535055,290272447,192059,616941,5832903,131793800,79,18,15,18,23417,3328
535,506,2090338163,30404557,64589,253366,905836,144585224,16,46,14,47,9712,909
595,535,2140569146,86575479,71459,365905,2513474,176564728,17,31,21,31,22954,1293
598,537,2026413617,136823092,116629,407709,7013743,227746336,57,28,5,28,12137,2262
594,561,2060877736,82475080,44109,435228,2127871,266121880,9,39,47,48,12860,2574
680,561,2204986038,965122412,505055,2346022,14574558,272465976,124,19,15,19,19578,6936
657,595,2096622985,1603478666,1011955,1711245,1297855,179116120,228,2,3,3,19974,6125
748,718,2105463686,67933282,86397,172269,927053,210990176,21,11,6,11,17397,957
748,719,2100687354,539885657,544211,952612,13957075,75669336,117,86,27,86,19710,3567
533,386,2212525646,266177689,72098,965813,1302987,177664328,54,6,7,6,16078,4955
498,437,2019932098,38116229,22052,122850,122331,196789272,23,1,1,1,15989,635
559,530,2102733176,145296791,275663,735179,11840368,254178184,50,97,14,97,18725,2686
584,553,2009373367,14625712,8742,42956,94532,266928944,7,7,6,7,10341,129
626,563,2072483424,972491881,373199,1448124,14645954,268508784,141,16,12,16,17848,6483
475,355,2159344188,34236943,18164,174186,1250811,287445024,8,14,0,14,13024,1523
533,502,2219072434,252640831,490649,775783,4931458,72201544,92,105,98,83,19545,2487
621,560,2219181380,196232965,113683,564900,3580588,154260336,40,45,44,45,16535,2716
534,386,2072808652,444482628,136551,1062846,2810150,318373824,78,4,7,6,19520,5639
501,441,2005529840,33652532,43566,222254,1543940,337308088,27,16,1,16,13754,964
504,445,2028687611,14578297,13680,48292,74718,349941808,3,2,0,2,10200,181
628,535,2110951484,216033870,137685,772300,16853656,113629448,49,44,45,43,15166,4546
590,558,2047171624,20994058,6141,47775,80324,126359496,5,4,2,4,14490,207
468,437,2084775987,69557279,53240,204841,344512,190004008,42,7,4,5,23943,777
533,499,2088586224,43819516,25167,304368,1211682,209105888,7,23,26,25,9810,1798
628,534,2007248380,107012644,38441,442133,5253034,240930224,20,20,22,22,9233,3057
599,568,2075821973,106530155,181591,308101,2493937,279118232,52,54,18,52,12954,1217
624,592,2205900853,89409373,99121,493777,5414152,317305640,42,36,10,35,14737,2071
628,595,2074641075,33748237,16227,159566,522382,336408648,4,11,4,11,14958,691
651,622,2049597691,24030762,45255,207721,781239,342772656,14,22,4,22,6639,632
718,689,2094347759,168124665,336411,525688,6273734,94087112,77,79,11,78,15295,1999
560,501,2132292459,20296426,17960,147685,714027,106817312,9,8,2,9,10408,581
563,502,2322802635,109042046,97726,411024,2464697,151368416,65,9,4,8,9351,1681
595,534,2138106516,32494612,17831,110596,745898,170471728,10,14,4,14,18376,865
596,535,2094759588,505274952,469322,1001293,30294375,342328536,89,104,90,104,29527,4544
591,558,2108144782,121782312,64038,465530,1123584,68805848,47,8,9,7,12665,2225
627,595,2115301455,2173669631,1389718,2078831,12570943,126225432,289,13,10,13,37125,6408
687,627,2024686161,22101555,22849,118857,865754,138790056,12,16,12,17,7578,897
533,415,2175707366,247356876,76921,898797,3217793,220438528,55,7,7,7,17191,4079
560,529,2177196571,57015045,50261,215527,1027392,258123744,19,32,15,32,29273,970
592,562,2115050987,63426776,13072,40588,43076,295811432,1,5,0,5,36906,143
623,562,2128760141,68570848,49183,330360,1141026,320945504,31,4,2,4,15046,1008
658,565,2189403675,31437398,22844,166055,1719792,333505608,10,18,5,18,9710,1630
747,716,1949014085,29187573,96753,201205,1899963,371191112,47,33,21,28,8657,931
746,717,2073500335,27957412,85144,204957,2506119,390031256,37,37,30,37,8483,1106
651,620,2021728759,16415249,32315,104034,396073,396320256,16,23,23,23,7853,429
683,651,2025106753,45630724,16576,175052,738779,102518416,6,16,7,16,12831,870
775,741,2049202500,684335431,291403,1418002,1330922,322347352,131,3,3,1,15665,5605
505,324,2180836796,24060864,10398,236842,417251,334909912,4,8,18,10,7684,1300
534,356,2160482257,482712367,105220,1222125,4705500,175221184,69,5,8,7,18779,6077
532,500,2144742342,40384973,42370,367197,1315255,189715240,9,25,16,26,9692,1104
533,504,2155502698,404126842,743305,671879,4304097,334645168,216,11,10,7,36356,2110
597,534,2041701388,303083023,217880,1515804,28978411,428833640,41,52,8,52,14013,5077
656,593,2043296788,208751700,94794,566070,5420289,167503088,63,9,3,9,14127,3162
650,613,2109953408,33559920,14136,244781,7157261,181596360,15,2,2,2,11311,1528
646,614,2127827667,54933172,36501,174708,905392,209780776,31,9,9,9,21468,809
505,326,2225485763,671043573,197844,1993204,3162908,107347560,90,9,14,9,23024,7310
471,411,1998637720,20176342,22535,93920,594930,127891600,14,14,0,14,10526,536
531,502,2073606536,30769081,126572,133545,1759313,162138240,66,23,21,22,11458,618
561,529,2218459345,178908196,186987,677255,2771718,237459848,69,14,6,15,29350,1868
560,534,2159497071,211520582,97558,790134,11793555,312778064,48,29,8,30,14828,4751
591,563,2129592536,1641005249,1118451,2023667,17085264,188794424,249,25,20,21,22731,6435
684,680,2147041631,31585362,27103,272865,1413418,202161504,12,20,6,20,9021,1884
746,687,2072476928,42800968,48458,381773,2188785,222199448,10,26,20,28,5662,1785
386,295,2020499287,402860369,324173,1078496,6576926,322389256,89,14,16,14,20854,3147
445,324,2067095218,32099766,15722,194496,444783,335745864,5,8,11,5,8654,1029
505,415,2169549037,501530495,307616,1117645,7280035,190242320,126,15,10,15,37877,4282
534,416,2081329424,383922104,126906,923234,2401652,337193656,80,4,6,6,20036,4810
562,472,2077921242,24260697,20993,117795,458322,350550880,20,5,5,5,7815,833
531,498,2095591588,24444896,14959,100050,517464,363910080,7,12,12,12,12302,851
534,499,2067265464,29037807,13374,205684,611062,383950448,8,9,13,8,8198,1293
534,529,2143309340,34298791,17541,292165,650804,397318288,8,13,16,12,9230,1451
562,529,2118263921,72378775,36961,308819,1369417,424034200,24,4,5,4,14584,1365
596,532,2132585968,367889673,162695,1235320,23370956,210922928,46,58,12,60,15155,6802
628,533,2051489164,89363596,42505,627829,4745487,236924128,20,12,17,15,7746,2892
622,561,2031891346,14289381,11624,79926,393506,243432784,3,9,4,9,6290,588
595,563,2170475025,863674611,722213,1595608,17841552,216693072,197,19,15,19,25010,4555
656,597,2080848593,45537227,28391,184215,1038798,242028784,18,14,12,12,10593,1423
445,355,2060248740,33580744,19205,147874,1011346,254693904,8,16,2,16,13200,1325
499,434,2111370792,25109543,9864,110352,217581,267358992,6,3,4,4,9828,629
498,435,2020666092,25545443,10878,80885,86899,280034936,8,2,2,1,10812,475
593,499,2246019234,20870093,8768,88658,357588,292700272,5,7,5,7,9571,959
627,535,2119507312,331693617,164817,749710,16243166,406705736,70,32,42,32,20888,4607
658,597,2014711806,39895143,41401,206198,1843130,425705816,11,35,25,36,12439,1657
646,612,2005934599,46274483,32754,236523,997109,444687056,19,9,10,8,13068,1378
687,625,2027686585,211146191,119582,556785,2282177,225563304,75,6,4,4,12232,2582
681,651,2207865280,43762051,20653,24288,67083,254253472,1,5,4,8,22772,209
562,470,2072717107,9792009,5931,39416,133986,254253472,2,5,2,5,5653,379
533,472,2162940157,48461656,45379,220860,1666640,275776560,33,13,11,12,9977,1114
537,479,2014314073,254720733,131458,511890,3390764,369007528,45,47,47,50,16524,2710
562,499,2143861131,42129494,21128,206981,866029,390521440,22,4,2,4,14035,1390
593,529,2097012334,25313855,11060,133220,401409,397692760,5,5,5,5,9878,796
623,561,2144396089,73677412,34004,224628,1314334,426389792,30,7,3,7,14597,1344
687,626,2195822331,23550054,14043,81815,479062,440734888,10,9,7,9,11526,693
710,678,2139434396,28267772,41430,195373,1139640,455077664,31,13,1,13,9224,923
717,686,2080793038,176065802,643316,538417,26536529,160635976,133,88,36,84,17451,2759
498,434,2007425670,17692712,7617,78249,112838,167610256,7,2,3,2,10264,555
505,474,2121268771,27465613,45007,168957,801001,188538776,32,15,12,7,8313,756
533,500,2153337182,23948561,18731,186767,855085,195517024,7,16,28,23,7545,1116
536,505,2072648867,89624265,241905,406840,5724838,230378120,51,50,47,40,10287,1318
556,522,2057124978,116040681,68078,599097,1676036,272216512,44,1,0,1,18779,2218
560,533,2149598360,207129489,90713,557688,7687291,334979256,51,20,16,22,15291,3322
627,565,2155658990,282061094,243319,913668,22874486,446541224,72,61,23,62,29004,4354
599,567,1955365369,207518745,252592,739922,9510787,154202576,45,57,25,70,11320,2351
659,628,2019076003,99290561,582499,485866,9869887,188125328,99,54,26,54,17331,1332
686,681,2147691679,47605752,27553,377874,2921937,215262472,14,21,8,23,7666,2586
445,265,1994371160,480891187,119825,1066762,2346503,391673280,74,8,10,7,19347,6151
535,326,2066468439,724284756,149884,1462094,4366366,306325896,60,34,38,36,17124,8360
597,505,2130715975,363808643,157116,774120,15554833,425055224,70,29,12,28,20464,4593
651,560,2036310584,9163578,4450,24712,120940,431650128,3,3,3,4,5845,307
710,561,2116589479,490569282,202496,1305275,25538804,279849560,78,36,13,34,15158,7280
656,562,2071597665,61972616,26941,264039,861799,305520208,29,2,0,2,8821,1838
620,589,2056537426,20401942,68316,148709,1578418,318355976,42,20,2,20,8090,764
686,624,2056395470,209774868,142111,692970,12839071,414618480,55,41,6,41,11692,3517
685,656,2155866086,193614106,144313,525354,6818025,164217176,54,45,37,34,13589,2751
710,679,2127440137,28611402,63944,192372,1336039,183566080,37,24,5,24,9910,846
475,323,2032344009,19284662,7480,123537,254319,190014216,4,6,11,5,7241,1093
533,325,2224585593,99440194,24717,550970,614501,235152304,25,4,4,4,12543,3555
416,326,2090159933,418222977,254908,776888,1117670,383497688,120,6,7,5,25324,3677
499,435,2027021041,18925905,7815,52690,96862,396393920,5,5,5,4,10443,555
499,467,2101535045,51093888,32240,151867,563058,422189104,22,14,11,14,22685,743
531,475,2097071494,207979222,77483,1097908,3171095,183120072,56,7,6,9,14151,4083
718,658,2012808847,109887796,105461,393354,5909334,228053928,31,51,49,54,9837,2445
747,687,2042777648,19327701,21868,134543,492136,234470800,2,19,22,24,5105,717
530,469,2196995608,22086230,19908,123770,482732,247304104,16,8,8,8,8860,663
533,473,2239991142,49626328,44971,193910,1157180,266554376,31,14,6,12,12253,1060
529,498,2062804554,72578013,60682,213752,588039,311473304,41,13,6,8,31145,889
559,529,2051660309,17378387,15369,59513,157529,317900768,8,3,2,2,9779,345
590,557,2096547552,16535676,3906,18163,55850,330736488,2,3,2,4,11820,186
681,620,2156252805,47286471,43437,230355,894014,349986392,21,24,23,25,8083,1243
747,688,1947545821,20150207,21439,100056,506051,375655320,7,21,20,14,5873,875
774,746,1987953905,555241879,330785,1099038,25924369,262089712,69,90,52,77,13956,5287
176,117,2003347727,479543477,400476,878648,1764735,428970464,153,3,2,3,26918,3179
475,324,2132358519,33353633,13247,180746,568844,441762512,4,8,17,10,8658,1138
505,355,2109432304,45778671,19526,207623,826028,137241208,5,13,15,10,10942,1580
501,470,2050886252,12126067,13072,80284,235373,143654744,10,9,4,10,6536,431
505,473,2060408947,35019671,36259,234950,1166499,162895344,21,19,14,11,7488,1332
530,501,2149293274,36011817,65010,125848,939486,182138408,29,31,19,31,16807,629
532,501,2167766065,95623887,501433,506395,9857633,214210600,72,77,64,77,14677,1497
563,501,2131513243,51918629,48736,314579,2575629,233459824,19,18,5,18,9957,1389
627,530,2125588965,94141057,24573,443826,2512343,265529488,9,19,31,29,7100,3589
589,558,2138966859,8492939,6124,10514,35579,271943136,7,3,1,3,5894,71
590,559,2164877169,31414356,10554,42770,134709,284770312,3,8,8,10,15510,207
657,596,2108667336,1760216410,1146079,1850171,56476311,226144416,227,51,15,49,18024,7431
204,197,2038671460,30771051,11664,193059,620007,238690616,3,7,9,6,10341,902
415,295,2074373013,426970466,146408,990144,5408559,395498360,81,14,14,14,21031,5280
415,324,2036617968,23735007,11761,169769,427102,408044464,6,9,10,5,8770,1172
534,325,2162804693,175901788,37598,616380,1133602,163063024,34,4,3,4,14352,4091
415,355,2070311353,55464518,44061,301165,2972039,188182856,17,18,2,18,13894,1414
531,445,2205693043,251141246,67045,1043682,1497087,269807232,54,3,4,4,13228,4479
534,500,2077022998,14156348,8039,136696,286882,276085768,4,4,4,3,5158,484
597,536,2101657165,119221472,133230,441334,5337646,313769712,44,26,10,26,8256,1771
625,561,2145278407,18866742,9270,107971,337766,326327384,6,7,9,8,8236,809
655,562,2023959892,95349080,59025,407632,6491496,363998968,33,21,3,21,10133,2799
710,677,2098502322,46377948,49964,313657,2343145,382835528,27,10,0,10,8839,1296
711,679,2170369386,27018461,12704,74945,190189,395392560,9,7,4,5,11861,456
445,323,2066323760,18466503,8398,117552,287004,401684008,4,7,12,6,7237,1020
565,325,2042831446,55602434,17484,223925,671162,426800536,12,9,12,11,9120,2470
565,416,2066111737,125602374,44015,546776,2565048,162040808,38,6,10,8,12858,2991
561,499,2179375315,154284407,96295,460749,1335672,230829200,67,3,1,3,27201,1865
