R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG
556,707,0,27629957,242575904,10,17,19,19
586,677,0,16845404,244073304,10,17,7,17
707,708,0,5997197,456050400,58,17,0,17
282,520,0,31816744,519201728,30,16,23,14
312,824,0,31722108,234895656,17,16,49,33
342,793,0,38596484,378735056,24,16,42,32
497,526,0,19068665,315885200,20,16,16,16
647,707,0,80517753,464316560,40,16,14,16
251,282,0,3100558,231460928,5,15,7,12
282,343,0,33533463,376734104,29,15,9,13
312,825,0,40396028,307562760,17,15,47,32
342,824,0,37860532,376457336,24,15,42,30
342,825,0,36213369,449964408,23,15,42,30
467,496,0,4682837,455426088,44,15,15,16
557,586,0,25577109,521479504,12,15,25,22
557,616,0,23244931,452095080,12,15,22,20
557,677,0,44488645,320100264,25,15,12,18
557,766,0,42402174,321338912,11,15,18,20
557,796,0,41229031,312133440,12,15,18,21
586,647,0,4231066,316788424,4,15,5,15
587,646,0,61058483,318332312,37,15,0,15
616,646,0,29690852,319424280,101,15,0,15
617,646,0,46189014,594343752,38,15,0,15
617,707,0,78165410,392175840,30,15,14,16
679,707,0,27500946,388178096,55,15,8,15
736,766,0,5782636,326827888,77,15,3,12
282,401,0,31419259,443549704,40,14,19,13
282,792,0,72287703,445652032,23,14,39,32
401,793,0,24833798,307315584,25,14,42,29
438,466,0,17320316,526085184,12,14,23,22
438,467,0,15624854,240659192,12,14,21,21
438,646,0,22651065,382069792,12,14,12,16
527,737,0,6560895,390086688,10,14,21,16
557,826,0,14486074,236925064,3,14,30,24
650,707,0,60541249,393221584,54,14,9,15
676,677,0,6590644,535852088,16,14,3,14
678,707,0,27875117,392141400,57,14,1,14
282,460,0,31289646,296734736,39,13,21,11
282,761,0,65326102,447707792,23,13,39,31
282,823,0,22304228,445536224,14,13,26,14
312,520,0,11144373,227357624,32,13,20,11
401,796,0,22108308,523837232,23,13,40,28
401,824,0,23418660,301830720,25,13,40,28
401,825,0,23040503,375552496,24,13,40,28
401,826,0,22600302,449286432,24,13,40,28
408,437,0,12588558,303567608,12,13,20,19
408,646,0,20139290,380614400,12,13,12,15
431,793,0,19483522,525167296,25,13,41,28
437,467,0,228281,455566400,43,13,0,13
438,496,0,17534089,455498880,12,13,23,20
438,526,0,18582666,384329192,12,13,23,20
460,793,0,19611644,458837408,25,13,41,28
461,793,0,19764323,314930728,25,13,41,28
490,793,0,19701740,241575312,26,13,40,28
556,677,0,16421155,319793856,10,13,3,13
557,676,0,23418716,245787384,12,13,21,18
593,707,0,88710576,464990096,50,13,15,14
646,826,0,65283033,317148560,26,13,14,13
651,707,0,87058814,326730312,54,13,14,14
680,681,0,206764,319631952,83,13,0,13
707,795,0,14113114,312898592,10,13,17,15
282,342,0,115416681,303207192,107,12,4,9
282,431,0,31500018,437731072,40,12,20,11
282,461,0,31778249,364321912,40,12,20,11
282,490,0,29996005,575438696,37,12,20,11
282,580,0,26107300,443642112,30,12,19,11
282,757,0,40523125,516586536,28,12,17,10
282,760,0,48055739,375139368,23,12,38,30
282,762,0,58227140,520266848,23,12,37,30
312,823,0,20638541,579821992,14,12,23,11
342,823,0,25191163,302942720,20,12,20,11
372,793,0,14636691,314801272,25,12,39,27
372,796,0,17524134,531002456,23,12,39,27
372,824,0,18864968,312186016,25,12,39,27
372,825,0,17767871,378932560,24,12,39,27
372,826,0,18123335,453093600,24,12,39,27
402,793,0,14760376,230379840,25,12,39,27
402,796,0,17512847,449014728,23,12,39,27
402,824,0,18612350,230106864,25,12,39,27
402,825,0,17936769,304975312,24,12,39,27
402,826,0,18087992,379843384,24,12,39,27
408,466,0,13406427,521986928,12,12,21,18
408,467,0,12037203,229048184,12,12,20,18
408,496,0,13825219,443412992,12,12,21,18
408,526,0,14168872,373619112,12,12,21,18
431,796,0,17241857,379077328,23,12,39,27
431,824,0,18403644,521228000,25,12,39,27
431,825,0,18040746,235100856,24,12,39,27
431,826,0,18227652,309346016,24,12,39,27
460,796,0,17734863,313208888,23,12,39,27
460,824,0,18329987,456131392,25,12,39,27
460,825,0,17764822,530786664,24,12,39,27
460,826,0,18103626,236836144,24,12,39,27
461,796,0,17481950,531664840,23,12,39,27
461,824,0,18362873,375669384,25,12,39,27
461,825,0,17795357,449496640,24,12,39,27
461,826,0,18165494,523342552,24,12,39,27
490,796,0,17403471,451228296,23,12,39,27
490,824,0,18311971,594640320,26,12,39,27
490,825,0,18140235,249104288,25,12,39,27
490,826,0,17768271,316408176,24,12,39,27
496,527,0,6548446,459070368,20,12,8,12
520,793,0,14317383,309275416,26,12,39,27
520,796,0,17313242,526402648,23,12,39,27
520,824,0,17978879,249152472,26,12,39,27
520,825,0,17665099,315682096,25,12,39,27
520,826,0,17661828,389614488,24,12,39,27
528,646,0,13729020,241862000,12,12,13,12
557,706,0,16626975,528214264,5,12,15,15
580,793,0,17629392,312672712,28,12,39,28
587,766,0,49261506,534022016,14,12,12,15
587,796,0,46104232,522399888,15,12,12,16
592,707,0,117270760,459720040,51,12,13,13
621,707,0,85434523,388079640,51,12,13,13
622,707,0,114997239,241508160,51,12,13,13
649,707,0,47316356,317114920,55,12,8,12
650,681,0,17677388,390264312,81,12,12,12
679,681,0,11192927,388506024,65,12,12,15
680,708,0,52188372,394248080,36,12,12,13
727,793,0,15014416,469077432,32,12,41,29
727,796,0,19733835,326629688,29,12,41,30
727,824,0,19707699,531501104,32,12,41,29
727,825,0,19408576,245814840,31,12,41,29
727,826,0,19422741,313673016,30,12,41,29
736,737,0,2362931,469326264,10,12,0,12
790,793,0,4734780,325470016,41,12,23,11
790,824,0,10352810,316677952,40,12,22,10
281,342,0,7378412,578615904,7,11,4,10
282,312,0,36393063,367785552,118,11,1,11
282,550,0,21835873,510083400,30,11,17,9
282,579,0,21425517,369585568,29,11,17,9
282,609,0,21600063,293462512,29,11,17,9
282,639,0,22050970,578170608,29,11,17,9
282,756,0,29467298,444030016,28,11,17,9
282,758,0,41681531,230012768,26,11,36,28
282,789,0,44244079,230346792,26,11,36,28
282,790,0,42243107,304583512,24,11,36,28
283,313,0,1617957,509516368,12,11,1,11
497,556,0,6833671,239630544,7,11,11,11
497,646,0,8025147,378683848,6,11,9,11
527,736,0,12817370,315108424,5,11,11,11
550,793,0,13858055,308762968,28,11,38,27
550,796,0,16973408,521321120,25,11,38,27
550,824,0,17661003,314305024,28,11,38,27
550,825,0,17306109,381402776,27,11,38,27
550,826,0,17116742,455957768,26,11,38,27
579,793,0,14166131,240889616,29,11,38,27
579,796,0,16984628,456181480,26,11,38,27
579,824,0,18055260,245312960,29,11,38,27
579,825,0,17568272,318723664,28,11,38,27
579,826,0,17679658,392136768,27,11,38,27
580,796,0,16567937,531014704,25,11,38,27
580,824,0,17676172,322552848,28,11,38,27
580,825,0,17288684,394608792,27,11,38,27
580,826,0,17437364,466660968,26,11,38,27
587,826,0,19153153,395522568,6,11,19,14
609,793,0,14402811,458675200,30,11,38,27
609,796,0,17637429,320932888,27,11,38,27
609,824,0,18693740,458888832,30,11,38,27
609,825,0,18284920,532815016,29,11,38,27
609,826,0,18100209,246930008,28,11,38,27
617,677,0,38580841,387842536,33,11,8,12
638,793,0,14072635,469547280,30,11,38,27
638,796,0,17508739,324070456,27,11,38,27
638,824,0,18295240,465500760,30,11,38,27
638,825,0,17811465,537277496,29,11,38,27
638,826,0,18114127,250034904,28,11,38,27
639,793,0,14092880,248791656,30,11,38,27
639,796,0,17787095,458708800,27,11,38,27
639,824,0,18420628,245521368,30,11,38,27
639,825,0,18079500,319994136,29,11,38,27
639,826,0,17972753,394455992,28,11,38,27
648,678,0,1073323,385971304,9,11,0,11
668,793,0,14763572,255790232,32,11,38,27
668,796,0,18627259,469704200,29,11,38,27
668,824,0,19077246,392300584,32,11,38,27
668,825,0,18711080,468514592,31,11,38,27
668,826,0,18577173,240476400,30,11,38,27
681,708,0,50626490,395220768,38,11,16,10
697,793,0,14511709,528826544,32,11,38,27
697,796,0,18209875,383984672,29,11,38,27
697,824,0,19009960,525092496,32,11,38,27
697,825,0,18602697,598785472,31,11,38,27
697,826,0,18643973,253232520,30,11,38,27
698,793,0,14646165,465744096,32,11,38,27
698,796,0,18111511,319693032,29,11,38,27
698,824,0,18810191,460282224,32,11,38,27
698,825,0,18848205,534213424,31,11,38,27
698,826,0,18609776,247801592,30,11,38,27
758,793,0,5277269,537000728,37,11,20,10
758,796,0,11016739,389825184,33,11,20,11
758,824,0,10321233,539889744,37,11,20,10
758,825,0,10421598,253954824,36,11,20,10
758,826,0,10474526,326626696,34,11,20,10
759,793,0,4747089,530248872,35,11,21,10
759,796,0,10418607,389024152,31,11,21,11
759,824,0,9917755,537980576,35,11,21,10
759,825,0,9999855,253314328,34,11,21,10
759,826,0,9982180,320313488,32,11,21,10
760,793,0,4732898,465579176,43,11,22,11
760,824,0,10401184,459901680,41,11,21,10
761,793,0,4275696,322291816,45,11,22,11
761,824,0,10425031,323006736,43,11,21,10
762,793,0,4079427,534096408,46,11,22,11
762,824,0,10602016,530104752,44,11,21,10
790,796,0,11451580,536000648,37,11,21,11
790,825,0,10872912,391443672,40,11,21,10
790,826,0,10991144,458739680,38,11,21,10
796,825,0,793745,392677352,77,11,11,1
797,826,0,2941522,387154296,18,11,12,10
251,281,0,7665466,577751752,22,10,0,10
252,342,0,8077365,218350376,5,10,1,10
282,372,0,16379101,227135088,42,10,11,8
282,638,0,21373848,504546648,29,10,15,8
282,668,0,21229770,445801408,29,10,15,8
282,697,0,21020503,300826104,28,10,15,8
282,698,0,20970757,374119952,28,10,15,8
282,727,0,21094132,227548400,28,10,15,8
282,759,0,43616268,302583208,26,10,34,27
282,795,0,22861492,299397304,10,10,18,11
283,314,0,1065788,230328944,50,10,10,10
312,401,0,16070104,518288248,44,10,15,10
312,490,0,14212847,235873976,38,10,18,8
312,792,0,41558536,226889856,24,10,36,28
378,437,0,9380960,237527696,15,10,17,11
378,646,0,19171945,374145512,14,10,10,10
401,823,0,13038496,228095960,20,10,18,9
408,556,0,12929075,242638112,12,10,18,15
408,586,0,12890377,585973744,12,10,18,15
436,466,0,181659,443339184,28,10,1,10
438,556,0,15049872,516113384,12,10,18,15
438,586,0,15300397,242099024,12,10,18,15
468,646,0,13899976,522121464,12,10,6,10
497,586,0,6731390,528378896,7,10,10,10
498,646,0,11910129,528910992,12,10,6,10
526,707,0,23088331,392197432,10,10,11,11
527,795,0,5713129,381581712,2,10,15,15
556,587,0,5443029,239893120,3,10,17,12
556,646,0,82222995,381111872,88,10,0,10
556,647,0,3867873,454837280,3,10,16,12
556,796,0,111384201,383567832,32,10,4,10
586,587,0,2687689,525729824,3,10,10,11
586,646,0,65136496,250920272,100,10,0,10
587,677,0,50653373,316370344,33,10,6,11
587,706,0,13162215,529203744,5,10,8,10
617,766,0,27133412,527577104,14,10,10,11
617,796,0,22544373,463059552,15,10,10,12
617,826,0,13538446,391555592,6,10,17,12
650,680,0,286472,316228800,91,10,0,10
706,736,0,14474392,599104808,73,10,3,10
759,823,0,8190405,465310096,30,10,19,9
760,796,0,11744205,319906688,38,10,20,11
760,825,0,10817572,534487496,41,10,20,10
760,826,0,11065887,248569096,39,10,20,10
761,796,0,11608727,540340488,40,10,20,11
761,825,0,11075867,389732792,43,10,20,10
761,826,0,11117786,463869952,41,10,20,10
762,796,0,11837713,390694392,41,10,20,11
762,825,0,11443834,597491824,44,10,20,10
762,826,0,11165098,253171176,42,10,20,10
789,824,0,9890411,391702600,39,10,19,9
226,256,0,716838,437837240,8,9,0,9
252,312,0,6636385,301584800,4,9,3,8
282,313,0,6589427,442550064,6,9,7,10
282,402,0,21680378,515245072,41,9,14,8
284,313,0,512299,447751912,23,9,1,8
284,314,0,242658,519810856,63,9,0,9
312,460,0,15259460,372038168,42,9,17,8
312,580,0,13231262,375787184,32,9,16,8
312,756,0,28013331,237334704,29,9,14,7
312,757,0,28231238,304819336,29,9,14,7
312,760,0,33806971,522260296,24,9,35,27
312,761,0,34308355,234664488,24,9,36,27
372,823,0,9090401,238051712,20,9,17,8
402,823,0,9006653,522777304,20,9,17,8
431,823,0,8968603,446888000,20,9,17,8
438,676,0,14360159,381029744,12,9,14,11
460,823,0,8768808,381476592,20,9,17,8
461,823,0,9971897,301845680,20,9,17,8
467,526,0,3032144,452179840,40,9,9,9
490,823,0,8864823,519367968,21,9,17,8
496,707,0,20363235,383423504,10,9,12,12
520,823,0,8740661,593757144,21,9,17,8
527,767,0,5192056,523946360,10,9,15,10
527,797,0,5195507,527151408,9,9,15,12
528,707,0,17214941,389173536,6,9,16,9
586,617,0,2990844,394779472,3,9,13,10
616,617,0,3541319,521422736,3,9,15,10
616,796,0,86334103,315075960,34,9,3,9
647,706,0,5598265,397311632,4,9,10,10
647,826,0,9759361,527163400,6,9,16,9
649,681,0,4549428,317038248,74,9,9,9
650,651,0,129698214,457321528,78,9,11,9
727,823,0,9640847,464495656,27,9,19,10
756,793,0,5739379,394673104,38,9,18,9
756,796,0,11825966,245905200,34,9,18,10
756,824,0,10990628,388432256,38,9,18,9
756,825,0,11295629,463727752,37,9,18,9
756,826,0,11221605,539018720,35,9,18,9
757,793,0,5215669,535502416,39,9,18,9
757,796,0,11444164,384556000,35,9,18,10
757,824,0,10782045,472718976,39,9,18,9
757,825,0,10896197,540192368,38,9,18,9
757,826,0,10810601,254210152,36,9,18,9
758,823,0,8128187,467216880,31,9,17,8
789,793,0,4238091,400357104,40,9,18,9
789,796,0,10588829,249097096,36,9,18,10
789,825,0,10078036,466894536,39,9,18,9
789,826,0,10258868,534555312,37,9,18,9
790,823,0,7425872,241907360,33,9,17,8
251,342,0,7573366,508049832,6,8,2,8
252,313,0,5741140,369254784,5,8,8,8
281,313,0,5584987,371359472,5,8,10,8
281,343,0,6449748,234236528,5,8,7,8
282,341,0,6750047,229699088,5,8,5,8
283,312,0,8555950,440625952,4,8,10,8
312,431,0,15279629,517466008,43,8,16,8
312,461,0,15664453,439228224,43,8,16,8
312,550,0,8938597,444898240,32,8,14,6
312,579,0,8926152,300573832,31,8,14,6
312,609,0,8987663,236128392,31,8,14,6
312,639,0,8869279,516346128,30,8,14,6
312,758,0,27700936,379804008,27,8,33,25
312,762,0,27130455,302137184,24,8,34,26
312,789,0,29776676,370112408,27,8,33,25
312,790,0,28393449,445302616,25,8,33,25
342,792,0,45835403,305544768,32,8,26,24
378,407,0,6892894,310156736,15,8,16,8
378,466,0,7655115,446748520,15,8,16,8
378,467,0,7223123,521199368,15,8,18,10
378,496,0,8382234,377682368,15,8,17,9
378,526,0,7968250,311374272,15,8,16,8
408,616,0,9930707,523268264,12,8,13,10
408,676,0,10593630,314967616,12,8,13,10
438,616,0,11543565,308880520,12,8,13,10
438,706,0,7547045,315764152,5,8,13,10
438,707,0,10136673,382023752,6,8,8,9
467,556,0,3027077,315365536,37,8,8,8
468,707,0,9075023,388243744,6,8,8,9
496,646,0,65370088,453569312,63,8,4,8
497,616,0,5422030,453711552,7,8,8,8
497,676,0,5453333,308563248,6,8,8,8
498,707,0,10937327,453706088,6,8,11,11
550,823,0,8292602,239747888,23,8,16,8
556,617,0,3330142,521967280,3,8,16,10
556,766,0,98788695,388887152,33,8,3,8
557,797,0,3731525,386590832,12,8,11,10
579,823,0,8395886,530980600,24,8,16,8
580,823,0,8289413,250486248,23,8,16,8
586,796,0,80733474,460292920,33,8,3,8
592,736,0,4984598,316804496,3,8,11,10
593,736,0,5135773,315530928,3,8,11,10
609,823,0,8555859,384965056,25,8,16,8
616,737,0,3966444,534506512,3,8,14,9
617,706,0,7032431,318352416,5,8,9,8
621,736,0,4331195,245835208,3,8,11,10
622,736,0,4694785,453911696,3,8,11,10
638,823,0,8442450,393661848,25,8,16,8
639,823,0,8637827,530384168,25,8,16,8
647,676,0,9349873,533055360,11,8,10,9
647,766,0,19611261,312484728,15,8,9,8
649,736,0,3042592,529565520,3,8,10,10
650,679,0,7340105,249604736,75,8,0,8
650,736,0,3594698,249772640,3,8,11,10
651,736,0,4036171,534578224,3,8,11,10
668,823,0,8968427,322995608,27,8,16,8
677,707,0,7948302,393935096,61,8,0,8
677,826,0,6365961,397490008,7,8,16,8
678,736,0,2736142,392567760,3,8,9,10
679,680,0,987115,321764400,73,8,0,8
679,736,0,3450226,247755200,3,8,10,10
697,823,0,8707111,458746776,27,8,16,8
698,823,0,8601983,393728048,27,8,16,8
737,766,0,10704660,461738200,27,8,9,8
756,823,0,8632845,320666720,31,8,16,8
757,823,0,8366815,397737224,32,8,16,8
760,823,0,7708949,392807424,34,8,16,8
761,823,0,7255952,248874704,35,8,16,8
762,823,0,7373288,455236968,35,8,16,8
789,823,0,7414059,316506112,32,8,16,8
251,252,0,76258,299795296,20,7,1,6
251,312,0,9367292,224502936,6,7,4,7
252,282,0,133363,434706800,15,7,0,7
282,375,0,6496325,444852080,18,7,5,6
283,347,0,8268209,444799456,14,7,9,7
283,376,0,7336007,304788800,20,7,9,7
283,377,0,8187471,379768928,20,7,9,7
312,341,0,1057395,373599216,5,7,7,7
312,343,0,16024844,518374864,35,7,3,7
312,638,0,8139110,449252944,30,7,12,5
312,668,0,8101744,371290256,30,7,12,5
312,697,0,8109943,523625968,29,7,12,5
312,698,0,7902309,230762784,29,7,12,5
312,727,0,8292153,440137352,29,7,12,5
312,759,0,29276290,454788376,27,7,31,24
314,347,0,7096877,228077216,18,7,8,7
342,760,0,35244524,226147000,32,7,26,23
342,761,0,36814662,300285904,32,7,27,23
377,707,0,11113556,307783384,7,7,7,7
378,556,0,7402022,231058576,14,7,15,8
378,586,0,7552960,516375776,14,7,15,8
378,707,0,9486056,238089096,6,7,8,8
401,760,0,28995781,517956536,33,7,26,22
401,761,0,29910819,230414864,33,7,27,22
408,706,0,6344484,242002880,5,7,11,8
408,707,0,9146045,309375344,6,7,8,8
438,527,0,4081591,454794312,9,7,5,7
467,586,0,2903905,242364568,36,7,7,7
467,616,0,3245881,231166224,34,7,7,7
490,520,0,163831,313490440,59,7,0,7
526,646,0,30994989,459358816,73,7,3,7
528,677,0,7860576,535913336,6,7,8,7
556,737,0,5251046,522171008,3,7,16,10
557,737,0,14992005,524348008,20,7,15,12
557,795,0,5311943,237684976,3,7,12,9
586,737,0,3594778,454761056,3,7,12,8
586,766,0,76678617,378740664,35,7,2,7
587,795,0,5372049,456245016,3,7,14,10
616,766,0,75075864,387133968,36,7,2,7
616,767,0,3735341,453944784,3,7,13,8
617,795,0,6112310,389962032,3,7,14,10
621,623,0,531533,313621560,3,7,8,7
646,649,0,3556462,315393392,4,7,5,9
646,650,0,4025579,383633056,4,7,8,9
646,795,0,21313595,248915064,14,7,7,7
647,796,0,14737466,243140928,17,7,6,7
648,651,0,6632795,316405912,10,7,10,8
648,681,0,1560108,242248104,10,7,9,8
648,707,0,3879236,249704416,8,7,5,7
651,679,0,41988886,596597800,75,7,7,7
676,737,0,3963600,458847480,4,7,9,8
677,766,0,8867725,598572040,16,7,11,7
677,796,0,9334363,459565064,19,7,8,7
678,681,0,10253896,313635752,63,7,7,7
706,737,0,7220406,254684424,8,7,0,7
727,795,0,6752314,254575480,16,7,13,6
758,795,0,4821361,316820512,16,7,13,7
759,795,0,4336128,316781192,14,7,12,6
760,795,0,4720843,246270936,18,7,13,6
761,795,0,4544105,472664440,18,7,13,6
762,795,0,4684696,315931840,19,7,13,6
790,795,0,4992112,468318008,18,7,13,6
251,283,0,7791236,303707928,10,6,8,6
251,284,0,11488447,375952560,8,6,8,6
251,313,0,5223587,291048600,4,6,9,7
252,283,0,2054345,509595360,14,6,2,6
252,284,0,5324181,576954080,12,6,2,6
252,343,0,6551464,293107656,5,6,4,6
281,284,0,6324577,519748248,10,6,7,7
281,312,0,10246942,296387616,11,6,2,6
282,284,0,11520545,232224368,56,6,1,6
282,344,0,7246712,442892624,31,6,1,5
282,347,0,9512087,302899776,14,6,8,6
282,376,0,10038438,512426808,20,6,7,6
282,378,0,7460524,294266216,6,6,9,6
282,408,0,8329048,233893240,6,6,12,6
283,378,0,6828191,447249512,6,6,9,6
283,408,0,7845829,372179960,6,6,12,6
284,312,0,6643685,375714480,4,6,10,6
284,347,0,7888985,305577672,15,6,8,6
284,378,0,6494674,296479504,6,6,9,6
284,408,0,11233460,224849272,6,6,12,6
312,795,0,8541500,444927752,11,6,11,5
313,314,0,35706,582917704,10,6,0,6
314,376,0,6297323,375753696,25,6,4,6
314,377,0,7227376,450414544,25,6,4,6
314,378,0,5280779,517614024,6,6,6,6
314,408,0,6453155,446674104,6,6,9,6
342,343,0,6781708,383518728,56,6,3,3
342,520,0,6498556,376548296,49,6,6,6
342,758,0,27842562,446160192,37,6,25,21
342,759,0,30003276,520731576,36,6,25,21
342,762,0,29154061,374418808,32,6,26,22
342,789,0,30686053,446083560,37,6,25,21
342,790,0,28807925,518233872,34,6,25,21
342,795,0,10052069,517797344,14,6,10,5
343,796,0,6901844,307892672,4,6,4,6
343,826,0,7287943,232842752,4,6,4,6
344,375,0,2495933,517097176,29,6,3,6
372,795,0,6236299,456448864,14,6,10,4
377,646,0,35974053,378060360,31,6,2,6
377,677,0,9832071,383970120,7,6,0,6
378,677,0,8485778,370782376,6,6,0,6
401,758,0,22491699,376265960,38,6,25,21
401,759,0,23323139,450826880,36,6,25,21
401,762,0,25299641,302669320,33,6,26,21
401,789,0,25568548,379607464,38,6,25,21
401,790,0,23316808,452388296,35,6,25,21
401,792,0,26077829,240116976,33,6,26,21
401,795,0,6058419,449175456,14,6,10,4
402,795,0,6215077,376133768,14,6,10,4
408,677,0,7994038,380720792,6,6,0,6
431,795,0,6211622,304840544,14,6,10,4
437,466,0,11078195,380884688,38,6,1,6
438,677,0,7413173,453929144,6,6,0,6
460,795,0,5974779,238973912,14,6,10,4
461,795,0,6174794,459421000,14,6,10,4
466,496,0,213371,451898896,93,6,0,6
466,497,0,980841,525832088,9,6,6,5
467,646,0,3015000,306427240,33,6,6,6
467,676,0,3129615,315050560,31,6,6,6
468,677,0,6096067,456818080,6,6,0,6
490,795,0,5797629,383847856,14,6,10,4
495,646,0,2853061,304988184,2,6,8,6
496,557,0,2782027,376191120,2,6,7,9
496,677,0,15597956,458566704,10,6,3,8
498,677,0,5214471,529998608,6,6,0,6
520,795,0,5725267,451524672,14,6,10,4
523,524,0,30987,456020488,7,6,0,6
526,677,0,11262346,452772760,10,6,1,6
526,706,0,92039408,320222272,48,6,5,6
550,795,0,5668423,455358680,14,6,10,4
556,767,0,3460910,460888568,3,6,13,8
556,797,0,3019762,450478784,2,6,13,8
579,795,0,5427778,381943224,14,6,10,4
580,795,0,5588485,455727792,14,6,10,4
586,767,0,3294342,456268832,3,6,11,7
587,676,0,7605549,241194080,12,6,8,6
587,737,0,29698587,249459504,25,6,10,8
587,797,0,4292566,595899648,15,6,9,7
588,707,0,7145769,453005104,4,6,8,8
592,766,0,2496259,239009648,1,6,8,8
593,679,0,30283546,316139384,71,6,7,6
593,766,0,2581434,245715224,1,6,8,8
609,795,0,5380513,246272832,14,6,10,4
616,797,0,2919101,389406600,2,6,11,7
617,676,0,7438044,311615376,12,6,8,6
617,797,0,3903658,536141472,15,6,9,7
618,707,0,7825278,465151352,4,6,6,8
621,766,0,2255949,534384632,1,6,8,8
622,623,0,49314,531251120,4,6,0,6
622,766,0,2230173,387320792,1,6,8,8
638,795,0,5311310,249937448,14,6,10,4
639,795,0,5295273,391233824,14,6,10,4
646,737,0,12975578,311474752,27,6,8,7
646,797,0,3566121,387967656,16,6,7,6
647,649,0,1409109,459770184,4,6,1,6
647,650,0,2058330,534326256,4,6,5,6
647,677,0,16565106,239954696,50,6,0,6
647,795,0,3304211,528676824,3,6,13,8
649,651,0,105881842,383501000,72,6,8,6
649,766,0,1263610,457558968,1,6,7,8
650,766,0,1570427,530056520,1,6,8,8
651,766,0,1894721,461299040,1,6,8,8
668,795,0,5885640,398403520,16,6,10,4
676,796,0,58717501,533334448,43,6,2,6
678,766,0,1120338,324360416,1,6,6,8
679,766,0,1489661,531753136,1,6,7,8
680,706,0,3046326,249751256,1,6,11,13
681,706,0,2636650,251961024,1,6,11,13
697,795,0,5665701,316963536,16,6,10,4
698,795,0,5825823,245765496,16,6,10,4
708,736,0,2293696,249306128,3,6,7,6
756,795,0,5424985,539130208,17,6,11,5
757,795,0,5047371,317265464,17,6,11,5
767,826,0,6138154,316214000,18,6,8,5
789,795,0,4533512,542227240,18,6,11,5
251,343,0,5097693,222267352,4,5,7,5
281,283,0,4426080,444768384,12,5,7,6
282,283,0,4810187,517475040,63,5,0,5
282,377,0,8754419,226684464,20,5,7,5
282,438,0,7082547,580304456,6,5,10,5
282,468,0,5181061,446593640,4,5,10,5
283,438,0,6606794,296009312,6,5,10,5
283,468,0,4708591,225993752,4,5,10,5
284,376,0,7867982,513053320,22,5,7,5
284,377,0,8723699,228249008,22,5,7,5
284,438,0,6414791,508894440,6,5,10,5
284,468,0,4622189,438028760,4,5,10,5
312,372,0,1435474,509401040,47,5,6,5
312,402,0,5670340,233885920,45,5,10,5
314,438,0,5670357,368983304,6,5,7,5
314,468,0,3829434,306018048,4,5,7,5
315,347,0,5666206,294501968,21,5,2,5
342,401,0,7161443,441495152,65,5,0,5
342,756,0,26690193,304505472,42,5,3,5
