R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG
527,646,0,63802065,464033112,12,57,21,59
646,647,0,285809,531636176,43,42,0,42
795,796,0,5765274,254795136,181,39,25,15
707,766,0,56141105,463996544,20,34,13,34
795,826,0,8258328,243016664,151,33,29,7
527,707,0,49347409,320095952,10,32,35,35
707,796,0,60897290,387885344,24,31,7,31
527,556,0,30746261,317762640,11,30,37,39
527,586,0,31681203,246582448,11,30,42,39
557,646,0,80243478,319146400,28,30,6,32
527,616,0,30058082,533365440,11,29,39,36
646,707,0,114134745,386932776,35,29,22,29
527,676,0,29369544,237266176,11,26,36,33
527,677,0,30549381,312808136,12,26,24,28
795,825,0,874449,535631480,36,25,16,9
527,766,0,55369889,454324712,9,24,20,31
527,796,0,55035530,454376008,9,24,19,31
616,707,0,45687291,247457112,10,24,32,29
646,796,0,154735918,318434120,36,24,5,24
825,826,0,60463,539017344,53,23,23,0
282,796,0,62320640,374269488,15,22,54,40
282,826,0,71511695,300755248,16,22,54,40
283,284,0,182615,512070808,57,22,0,22
527,587,0,13976144,320509200,16,22,18,22
527,706,0,18568841,248683336,5,22,21,23
557,707,0,90787159,242798952,22,22,26,26
586,707,0,64152048,528613600,10,22,31,28
282,793,0,58436232,519898664,16,21,54,40
646,766,0,139670706,243568264,39,21,4,21
680,707,0,130244413,321996632,36,21,24,25
707,826,0,36214334,319293400,17,21,24,23
282,824,0,58955232,518757200,16,20,53,38
496,497,0,835699,592223968,15,20,0,20
496,526,0,620007,383890432,107,20,0,20
527,557,0,208156,390740968,26,20,0,20
681,707,0,123524974,319824024,38,20,28,22
706,707,0,12467666,390403064,29,20,0,20
282,825,0,59008965,226955520,16,19,51,37
527,617,0,11058461,239950360,13,19,21,21
527,826,0,16603138,455363720,3,19,19,19
587,707,0,144330589,236292224,30,19,14,20
616,677,0,17420793,322265656,10,19,7,19
676,707,0,12660781,529255640,13,19,9,19
312,796,0,47593017,512595928,16,18,50,35
312,826,0,67611169,380237704,17,18,50,35
342,796,0,54846432,230705552,22,18,42,33
342,826,0,59852643,523483512,23,18,42,33
527,647,0,10925655,237542560,13,18,20,20
616,647,0,4275602,393985008,4,18,5,18
646,677,0,20936325,454392040,43,18,3,18
707,736,0,12328581,541073920,19,18,11,21
281,282,0,1508476,377294920,19,17,7,11
312,793,0,33042829,294549840,17,17,50,35
466,467,0,1342250,238432720,5,17,0,17
467,497,0,685112,525573016,8,17,0,17
497,527,0,3470966,388973696,9,17,0,17
527,528,0,1126572,532051344,23,17,8,9
