R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
796,579,2808753834,1734266942,44463,7065454,3237113,592665816,39,3,4,2,84473,22187
824,579,2646892143,1727398887,48201,4706755,2233230,1264237080,42,4,5,1,89767,20121
825,579,2778392078,1719939146,48592,5033762,2315543,983779936,42,4,5,1,89767,20121
826,579,2815820450,1782442222,50045,5931092,2826719,719751392,42,4,5,1,89767,20121
796,580,2717713157,1787712757,37972,6431494,13684937,472624488,39,5,5,4,88687,24444
824,580,2658801018,1808195744,52222,5104525,15881926,1170908920,42,6,6,3,93981,22420
825,580,2713158445,1823896721,55281,6372591,17867609,903031576,42,6,6,3,93981,22420
826,580,2663955901,1883947136,58897,6812707,17942042,672523816,42,6,6,3,93981,22420
826,587,2613168244,301400279,12502,1097463,4428680,824669112,4,10,18,10,53978,9325
793,609,2743456066,1059588781,36092,2319774,1829904,1186028456,45,3,5,4,92943,14199
796,609,2789316684,1647759573,45093,6139616,2706231,848017376,39,3,4,2,85043,21257
824,609,2670583971,1774134433,49817,5929254,2815222,562302936,42,4,5,1,90337,19095
825,609,2704081619,1696496887,48958,4708449,2159116,1215127736,42,4,5,1,90337,19095
826,609,2660543498,1691961665,49230,5483833,2567252,890200288,42,4,5,1,90337,19095
677,617,2885941158,1731082132,196980,2726066,110450828,627301088,60,51,5,50,277066,11405
793,638,2668180154,943582577,52568,3364390,3077460,974132872,45,3,5,4,91580,13226
796,638,2805904756,1662671848,47599,6464189,2823460,635609880,39,3,4,2,85043,20405
824,638,2834950008,1651878238,47972,4390158,2109220,1252247176,42,4,5,1,90337,18162
825,638,2651148755,1633858953,50936,5198715,2334663,907332680,42,4,5,1,90337,18162
826,638,2642944342,1795266233,48960,5746177,2480364,644130848,42,4,5,1,90337,18162
793,639,2652330664,1020397383,54924,3313417,3165095,996946752,45,3,5,4,91580,13590
796,639,2755664475,1644357285,44521,6805730,2784502,673845648,39,3,4,2,85043,20722
824,639,2702867847,1618589352,48266,4437294,2162664,1315376752,42,4,5,1,90337,18511
825,639,2803807416,1767306089,49559,4663447,2170949,978520736,42,4,5,1,90337,18511
826,639,2905749521,1675546444,49321,5904923,2759723,670637528,42,4,5,1,90337,18511
678,648,2920767435,398268395,22704,419363,1253342,851210808,7,5,0,5,170906,2651
793,668,2679917230,895832468,52087,3068785,2956113,1176224552,45,3,5,4,94821,12291
796,668,2791961460,1546043177,43656,5582019,2986892,873517680,39,3,4,2,86921,19587
824,668,2656973526,1673659875,49882,5656567,2394388,633486856,42,4,5,1,92215,17265
825,668,2724397208,1633921540,51673,5836872,2376555,429278888,42,4,5,1,92215,17265
826,668,2704398676,1605298464,33234,3188396,1427488,1049927376,42,4,5,1,92215,17265
708,681,2502240869,1207421075,78147,2255455,7520182,617201936,53,5,0,5,126309,8222
793,697,2659168335,875799128,52309,3002337,2616815,950150720,47,2,3,3,93971,11060
796,697,2740212898,1675659934,46522,6247161,2530308,642171144,41,2,2,1,87434,18806
824,697,2682572170,1581275190,51154,5440317,1202057,1252620600,44,3,3,0,92728,16181
825,697,2731108233,1675236497,60882,3821516,608236,941445168,44,3,3,0,92728,16181
826,697,2720667798,1844888419,50729,5324838,1481571,672352416,44,3,3,0,92728,16181
793,698,2660054391,933024993,52686,2859512,2491999,999294888,47,2,3,3,93971,11060
796,698,2816997737,1705223271,45955,5958264,2317159,740468152,41,2,2,1,87434,18806
824,698,2706300054,1753583242,54467,5970208,511194,551405616,44,3,3,0,92728,16181
825,698,2745232314,1607494590,49272,4366426,1275136,1168921104,44,3,3,0,92728,16181
826,698,2756576152,1618254887,51080,5012854,1035483,855575248,44,3,3,0,92728,16181
793,758,2644152566,634924386,68719,1477016,2877747,1083230312,47,11,11,10,104529,6402
796,758,2698233593,1994957467,59778,4870909,3089768,957496112,44,8,8,7,97452,16786
824,758,2750655676,1767408850,68188,3657992,3468675,777635184,46,10,10,7,103098,12663
825,758,2789466499,1816524063,66618,3600841,3345137,645700736,46,10,10,7,103098,12663
826,758,2776975525,1964847223,68586,3876897,3481987,520508480,46,10,10,7,103098,12663
793,759,2811764344,601065084,57743,1372060,1040466,722214480,47,4,4,2,97385,5599
796,759,2758048139,1807073907,55382,5107652,2164359,569732280,44,5,5,4,93326,15950
824,759,2704973481,1475257272,56919,2929996,1198241,1124435120,46,4,4,1,96751,11343
825,759,2685559764,1553967844,61396,3091066,1187197,815707248,46,4,4,1,96751,11343
826,759,2747070332,1515422154,57550,3387380,1300833,571327984,46,4,4,1,96751,11343
824,760,2708221009,1711614649,94300,2808168,5030989,407863688,62,7,6,6,121498,7809
824,761,2683061260,1681408208,92692,2176642,4534605,1131531984,62,7,6,6,121498,7809
824,762,2674938815,1748687447,93274,2136997,4252130,924448128,62,7,6,6,121498,7809
796,790,2770672106,1829174329,60245,4359871,1691052,764819880,48,4,4,3,98768,14095
825,790,2761477057,1590266595,70974,2878099,415760,537018792,54,2,2,0,104414,9735
826,790,2729369988,1527218284,85470,2577344,278405,1121922872,54,2,2,0,104414,9735
342,252,2304630768,224715700,11794,631171,1266024,884796824,7,6,3,3,37307,3405
372,282,2373610458,488877308,35421,1038212,9921489,1098711808,18,21,23,18,101387,5672
638,282,2343626221,213309270,15938,705420,679129,419832384,12,6,8,2,59097,6140
668,282,2200031370,217021460,15287,731573,711488,523267840,12,6,8,2,59934,6561
697,282,2213923810,237497239,15290,754198,791883,626702632,12,6,8,2,58164,6995
698,282,2279411738,227535023,16264,745831,787961,730136984,12,6,8,2,58164,6995
727,282,2253869163,222813143,16223,786039,680476,818802624,12,5,7,2,57267,6801
759,282,2220840886,97462185,9417,406844,822683,877907280,4,5,12,8,49295,4549
795,282,2570439684,79019252,7964,492548,846138,907459624,3,3,5,3,30614,5182
314,283,2496950574,425525179,44576,712870,6374777,1084804216,31,13,9,13,91044,3451
401,312,2227916412,294511158,29954,753472,1019108,477127584,22,11,11,5,88980,3575
490,312,2281020937,322408739,28359,1022770,1301378,620036872,20,10,12,6,84409,5535
792,312,2650791094,385343430,15763,1719306,4325938,762939568,10,9,13,10,71690,11879
437,378,2447941669,596596737,71035,1104620,19241608,991614992,31,30,3,32,124470,4567
646,378,2666558569,941366848,31305,3188364,30171762,704932512,24,9,1,9,88991,15788
823,401,2243964528,230158167,13627,1296210,2482548,815521968,12,3,5,3,72353,8495
556,408,2482246674,616818800,32126,2011924,17783417,408104008,26,7,0,7,74253,8282
586,408,2694867412,665900579,31083,1928423,19405887,729112512,25,8,1,8,74253,9740
556,438,2522084072,1072167608,60111,2624543,53110086,611651512,30,25,2,24,125992,11524
586,438,2580193243,1266468129,60818,3315622,63763814,489241840,28,26,8,29,124426,13691
646,468,2528847963,603677514,29609,1420048,1924507,752564208,27,4,8,4,63631,7046
586,497,2665624945,812543496,121716,2002279,38050824,460535792,40,42,7,42,184414,8007
646,498,2750619968,1269977863,100354,3326667,62744846,393520168,35,40,7,40,166685,13954
707,526,2620719981,1508106678,44953,2937788,54445421,1027660472,20,26,13,27,141050,19522
795,527,2521844215,1044276428,22384,2581218,20300102,781817376,11,14,18,14,57015,20098
