R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG
562,593,0,50454696,429667936,216,304,95,302
561,593,0,42266287,362635232,167,250,135,240
593,623,0,10415109,358173888,234,200,38,200
593,624,0,17498671,430200280,110,183,47,156
505,535,0,5711895,360744584,245,181,171,16
530,560,0,22833149,491307864,493,180,60,171
537,567,0,4173586,426364544,93,177,76,163
500,530,0,11454756,361665560,316,162,2,161
505,533,0,25606803,223874464,204,161,162,142
560,591,0,14363139,422452320,120,161,93,139
533,562,0,8199733,298917088,101,157,13,146
560,593,0,26348992,558922200,84,149,76,148
594,625,0,23248408,293145896,249,149,8,145
502,532,0,6114427,359974888,222,148,20,140
625,656,0,19361052,495621456,260,148,17,136
501,561,0,22499525,363318264,120,147,78,152
530,535,0,10833324,297078184,29,147,180,125
531,561,0,10593531,492357408,282,147,8,147
562,594,0,20697126,501704632,107,147,42,146
593,625,0,11518825,495026160,66,147,50,108
530,562,0,40636761,232655280,212,146,9,142
475,534,0,13440688,221826496,67,144,76,144
468,499,0,4103266,293073560,199,142,130,37
505,534,0,12402484,295911768,252,142,141,5
434,467,0,8788802,225807048,64,139,142,105
561,592,0,8119146,297802176,230,139,136,44
597,626,0,16113429,430756312,107,139,23,137
532,562,0,6487854,491333008,134,138,3,137
656,687,0,17620000,431785168,250,137,83,93
471,501,0,5197643,417856504,186,136,2,135
597,627,0,6123481,495589272,205,135,15,130
597,628,0,7005231,234174440,73,133,68,106
687,717,0,3815041,369150312,44,133,32,133
416,505,0,4640467,293189936,111,132,131,9
530,593,0,29191009,491843152,117,132,88,124
325,475,0,9499141,481970576,44,131,104,117
325,505,0,7086561,286598112,27,131,132,86
325,445,0,8140450,350954120,48,130,102,119
435,467,0,12000501,356550232,98,130,130,122
530,534,0,20372895,225045376,139,129,139,74
688,718,0,4414860,231599792,147,129,14,125
560,592,0,23370525,494278256,154,128,32,117
567,598,0,6340063,297975000,72,128,10,127
596,625,0,9900488,429896448,95,128,6,126
475,535,0,11842851,293863416,112,127,67,122
687,718,0,5605684,433981080,66,127,42,125
531,563,0,8869140,295619360,75,126,108,83
626,655,0,12754589,294180584,133,126,26,111
325,415,0,7330742,544541464,56,125,123,107
445,475,0,6824743,359124896,259,123,7,122
533,565,0,18779098,493753576,129,123,8,121
475,533,0,11236527,490400064,64,122,70,110
534,565,0,20219636,296316488,202,120,3,117
472,502,0,3023204,353224152,127,119,1,119
504,532,0,2928324,295191920,112,119,120,14
475,504,0,3478733,424798176,40,118,99,84
530,561,0,60206575,555952504,562,117,44,115
626,656,0,7526346,366217368,533,117,113,4
596,628,0,4649228,236121336,127,116,119,31
356,445,0,3479110,354314920,112,115,117,11
562,624,0,20326848,301865712,78,115,29,105
562,625,0,14653124,366698872,52,115,33,115
595,656,0,8094922,237443024,80,114,105,37
655,684,0,5370314,498230792,49,114,30,108
415,535,0,10709070,549763392,71,113,89,77
500,561,0,10429612,232801528,55,112,87,111
656,686,0,12270482,366952624,103,112,27,109
501,531,0,15710731,230083144,253,111,69,105
500,560,0,7637339,555405712,51,110,112,110
562,591,0,7570864,300000544,84,110,80,107
687,716,0,5881261,304319856,95,110,101,33
521,553,0,3428335,234505352,125,109,111,11
501,562,0,12258597,428274384,104,107,78,57
