R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
618,707,2043354946,5372589,60884992,4,6,6,8,16563,6792
621,766,2267332189,1942109,81779400,1,6,8,8,15762,4811
622,623,2232537694,52027,90478824,4,6,0,6,14053,124
622,766,2234802501,1969837,111367768,1,6,8,8,15762,4883
638,795,2205177676,4467038,140957024,14,6,10,4,21900,11730
639,795,2194464430,4509202,81992720,14,6,10,4,21900,11906
646,737,2597170699,9990656,125546472,27,6,8,7,52782,10637
646,797,2531474503,2854846,68034760,16,6,7,6,34024,10414
647,649,2245908431,1362386,83825472,4,6,1,6,26607,3466
647,650,2275159154,1759197,99578840,4,6,5,6,26607,3887
647,677,2435155214,16875810,66037464,50,6,0,6,92424,7815
647,795,2349202714,2767957,94064512,3,6,13,8,15489,7314
649,651,2540541962,56321453,107566424,72,6,8,6,133983,12485
649,766,2229016610,975277,128232936,1,6,7,8,15762,3113
650,766,2320427472,1298432,150588048,1,6,8,8,15762,3854
651,766,2313519516,1612870,74380464,1,6,8,8,15762,4339
668,795,2189014519,4817896,107070344,16,6,10,4,23780,12653
676,796,2543243518,49794059,87606480,43,6,2,6,56838,15457
678,766,2275786040,860083,110528920,1,6,6,8,15762,2701
679,766,2427001066,1201022,131668624,1,6,7,8,15762,3895
680,706,2305988777,2289394,147514920,1,6,11,13,15706,6360
681,706,2307793728,2207794,71630136,1,6,11,13,15706,6099
697,795,2216790887,4778736,101571256,16,6,10,4,23780,12069
698,795,2213137578,4974555,133280576,16,6,10,4,23780,12219
708,736,2251987222,1569525,65717360,3,6,7,6,14550,2294
756,795,2065972697,4398245,78266128,17,6,11,5,24464,10975
757,795,2245660217,4123103,110542184,17,6,11,5,24464,10235
767,826,2450835631,4068275,92742008,19,5,7,5,28630,4382
789,795,2224046840,3532063,125043480,18,6,11,5,24820,8964
251,343,2026941902,3252528,134012184,4,5,7,5,14661,5303
281,283,2071665879,3242489,146581792,12,5,7,6,23119,4178
282,283,2370677278,4366509,92712240,62,5,0,5,56810,1846
282,377,2305897884,6117316,105489280,20,5,7,5,19680,7968
282,438,2282127350,5231637,114610192,6,5,10,5,13787,6643
282,468,2263227924,3665531,121904280,4,5,10,5,12535,6077
283,438,2125604873,4514676,134677152,6,5,10,5,13787,6045
283,468,2126559377,3315220,142000896,4,5,10,5,12535,5585
284,376,2176175038,5238500,72631568,22,5,7,5,21793,6257
284,377,2147961889,5953359,90880192,22,5,7,5,21793,6605
284,438,2145615632,4365581,101821832,6,5,10,5,13787,5760
284,468,2149742555,3203606,109116328,4,5,10,5,12535,5355
312,372,2306694191,1232596,145604248,47,5,6,5,44536,3915
312,402,2327156370,4211727,89242736,45,5,10,5,44257,5712
314,438,2140459985,2582808,102158408,6,5,7,5,13787,5040
314,468,2105669804,2748788,109537968,4,5,7,5,12535,4746
315,347,2100918542,5470504,126154616,21,5,2,5,19819,5625
342,401,2392346020,5850681,101410320,65,5,0,5,63861,3802
342,756,2353331293,21556665,130941648,41,6,4,5,51640,17446
344,796,2118172734,8265738,142019944,3,5,2,5,12835,8931
344,826,2125097376,8721125,151243984,3,5,4,5,12835,9260
376,377,2123782852,55665,72628112,34,5,0,5,29802,78
378,616,2230594422,5118837,98936120,14,5,10,5,40658,16068
378,676,2248324880,7001186,130842264,14,5,10,5,40658,17514
431,760,2474756011,12269864,95821704,33,5,24,20,42813,16440
431,761,2297194996,12552320,144634688,33,5,25,20,42813,16756
431,762,2299729685,13758921,96352000,33,5,25,20,42813,17995
431,792,2295288314,14283741,143796312,33,5,25,20,42813,18434
437,438,2495475096,57172,92659624,35,5,0,5,40733,80
460,760,2271015674,15993936,142018752,33,5,24,20,42813,15587
460,761,2315813096,12350513,96232544,33,5,25,20,42813,15903
460,762,2245799145,13316948,144996096,33,5,25,20,42813,17142
460,792,2367763472,20748254,96375296,33,5,25,20,42813,17581
461,760,2329687005,11855837,143195568,33,5,24,20,42813,16324
461,761,2350293735,12745940,96251896,33,5,25,20,42813,16640
461,762,2257405349,16033619,142572736,33,5,25,20,42813,17879
461,792,2350744506,14914001,93821488,33,5,25,20,42813,18318
