R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
265,533,1923453153,3501546,34717576,28,17,22,19,19040,6198
324,355,1967814384,7206612,28812144,207,2,2,1,37467,2186
355,535,1970660729,13652970,35865224,51,29,25,31,16800,7254
439,471,1927600897,3872672,39391728,19,36,19,36,6798,1619
443,533,1955667657,6048503,45120200,32,39,16,39,8534,2750
472,505,1984630200,8249961,27653848,39,44,39,22,10547,3524
508,536,1951010032,2516271,32070872,22,40,23,28,7131,1808
530,590,2139151515,18886928,46616064,206,35,33,36,29451,4819
534,567,2057269384,5197003,28626096,13,44,40,53,7347,2602
556,588,1953877416,2788211,32592968,8,44,25,44,6791,1665
561,655,2119617257,19953240,39642064,34,48,8,48,12044,5524
563,656,2061810223,37678859,29393784,84,48,7,46,18405,6723
564,626,2065892017,9409928,48783256,48,42,21,45,10605,3581
592,625,2046569649,13255565,33960504,53,42,36,42,13428,4138
593,686,2062111919,17769946,42331496,46,42,6,40,11905,4752
612,648,1952330479,5751830,28499816,89,2,4,4,20417,6764
658,717,2015399302,5459869,35558392,23,41,27,43,7001,2571
685,716,2014665625,4556983,47020128,57,43,10,42,9936,1403
714,747,2009119894,2423813,28675592,7,38,26,40,5628,1991
740,775,2063935972,10819000,40578032,101,15,14,17,17425,6659
741,746,1998359053,5770077,45865336,15,37,33,38,7539,4028
765,796,1971810552,2118268,33899808,70,14,10,10,16177,1309
789,822,1937096612,1239507,41825384,57,7,7,4,23973,1906
817,822,1936728461,3372955,49755280,58,3,4,3,23502,3779
146,205,2003975042,568308,32090176,83,1,1,0,42132,1438
169,265,1958871991,2564919,38702512,35,7,9,6,17119,3584
169,295,1922352842,1724015,45319896,37,4,7,4,16875,3921
170,235,1945656833,2216917,33412848,19,23,27,24,16585,2673
198,234,1948190415,3113174,38259416,34,8,11,8,16731,3366
202,326,1907641481,2843745,44864568,43,3,3,4,17899,3488
326,533,1963380073,11514621,33003712,41,20,27,21,22653,6694
413,473,1944739422,6313324,38300552,43,37,4,36,10058,1448
415,627,1981037748,4225353,46227792,67,5,6,6,18857,6873
434,529,1929811527,20715144,52833120,41,36,36,36,15837,6826
434,530,1979793051,21480826,38123912,40,36,35,36,16163,7445
469,500,1947693806,2501097,42092656,22,39,4,39,7031,1042
478,567,1956892726,3127473,48271312,13,51,50,48,9139,2972
503,531,1996301495,3200822,52681360,15,38,38,37,6794,1211
507,536,1961620112,2354313,36358232,32,39,10,39,7848,1425
508,535,1942514873,1884897,39443672,6,38,31,39,6098,2148
530,623,2118559958,11096453,48692320,91,39,42,39,17702,6876
534,562,2028819215,14039355,36250592,111,33,3,33,19157,3499
534,591,2060240579,5306146,46829272,40,25,14,24,10772,2759
535,592,2028336312,4500393,32921312,29,36,21,36,9186,3042
557,588,1939712511,890515,36450240,9,47,42,32,6454,932
590,651,1991123164,5170916,40854336,32,43,29,45,8310,2445
597,687,2000467299,3869391,45272016,12,47,43,51,9868,2810
598,628,1959732162,11572429,34759592,99,35,0,35,13287,1329
621,653,2057575987,4697644,40924048,53,12,7,10,8532,1712
621,681,2088540140,16131094,35715176,156,28,9,26,20467,3329
647,677,1952307291,443706,42331640,39,38,1,38,8028,226
652,684,1975759022,14393459,54671520,136,22,11,22,20165,4030
659,687,1938441711,8694803,39212064,94,26,11,27,11884,2910
713,717,1976062425,4902009,48027264,41,15,23,19,8423,2847
715,747,1970003004,1755699,52876536,8,39,36,44,5622,1382
165,198,1905060824,2117462,41062448,26,20,20,25,18814,1415
167,234,1908828163,3597601,45920952,33,7,12,8,16329,3908
169,235,1940455809,2502244,53854456,19,22,26,23,16307,3155
169,326,1943555319,2081593,38038320,34,6,11,6,16480,4614
323,416,1932781213,3545081,43320152,48,9,11,8,12290,3555
325,504,1974809692,4471071,48612472,30,22,23,25,18246,5280
356,504,1985938482,5038212,33495360,62,8,11,10,22518,5597
416,531,1995503835,3158924,44070400,57,7,10,9,20103,6147
467,498,2056496100,10422624,47901128,277,35,6,32,42681,3651
