Garten Shopping;-26.253704;-48.853096;0.001
Prefeitura;-26.294802;-48.848037;0.001
Expoville;-26.296738;-48.883074;0.001
Rotatória;-26.256564;-48.904773;0.003
Fort atacadistaca;-26.274789;-48.877527;0.001
Celesc;-26.292585;-48.865022;0.001
Society;-26.282966;-48.864298;0.001
Embraco;-26.264358;-48.870484;0.001
Angeloni;-26.278366;-48.849139;0.001
University Hospital;-26.282663;-48.814087;0.001
