latitude;longitude;time
-26.3050833;-48.8452429;5790
-26.30511501;-48.84527094;6821
-26.30514198;-48.84529403;7822
-26.3051686;-48.8453082;8814
-26.30517996;-48.84531549;9810
-26.3052072;-48.84529283;10801
-26.30521481;-48.84529502;12006
-26.30523929;-48.84529656;12998
-26.30524266;-48.84528938;13987
-26.30525946;-48.84528306;14979
-26.30527147;-48.84529425;15975
-26.30528205;-48.84528811;16967
-26.30530046;-48.84530587;17965
-26.30528727;-48.84531792;18966
-26.30529409;-48.84531868;20153
-26.30529848;-48.84532199;21197
-26.30530298;-48.84532202;22670
-26.30531106;-48.84531939;23675
-26.30532186;-48.84531591;24688
-26.30533114;-48.84531499;25670
-26.30533905;-48.8453209;26654
-26.30534757;-48.84529848;27637
-26.30535836;-48.84528595;28621
-26.30536067;-48.84527635;29603
-26.30537363;-48.84527127;30583
-26.30539144;-48.84526888;31567
-26.30539912;-48.84527241;32549
-26.30541461;-48.84526635;33529
-26.30542953;-48.8452735;34511
-26.30543607;-48.84525964;35495
-26.30543122;-48.84525536;36479
-26.30544222;-48.84524668;37462
-26.30544344;-48.84523179;38443
-26.3054585;-48.8452179;39426
-26.30546944;-48.84520942;40410
-26.30547894;-48.84519646;41408
-26.30547699;-48.84519054;42397
-26.30548864;-48.84516871;43392
-26.30548909;-48.84515083;44375
-26.30549974;-48.84513416;45356
-26.30551426;-48.84514533;46338
-26.30552142;-48.84513166;47321
-26.30552889;-48.84513172;48304
-26.30553531;-48.84512774;49289
-26.30554771;-48.84513118;50270
-26.30555182;-48.84512907;51250
-26.30555699;-48.84511623;52232
-26.30556707;-48.84510288;53213
-26.30558329;-48.8450972;54195
-26.30559568;-48.8450873;55175
-26.30560275;-48.84508202;56156
-26.30560779;-48.84507879;57136
-26.30561758;-48.84509556;58116
-26.30562318;-48.84508489;59096
-26.30561945;-48.84508054;60075
-26.30563743;-48.84508253;61055
-26.30565253;-48.84509758;62036
-26.30565946;-48.84510254;63016
-26.30568091;-48.84511481;63998
-26.30570279;-48.84513948;64977
-26.30571136;-48.84514126;65957
-26.30572926;-48.84512667;66938
-26.30574428;-48.84512747;67918
-26.30576184;-48.84513196;68899
-26.30575053;-48.84508967;69879
-26.30578436;-48.84508793;70858
-26.30581425;-48.84509307;71837
-26.30583844;-48.8450879;72817
-26.30584792;-48.84507151;73797
-26.30584707;-48.84506031;74775
-26.30583673;-48.84503649;75755
-26.30584733;-48.84503425;76735
-26.30585872;-48.84504405;77763
-26.30588333;-48.84505376;78744
-26.30589474;-48.84504697;79771
-26.30590625;-48.84504663;80753
-26.30591869;-48.8450201;81739
-26.30594436;-48.84501841;82720
-26.30597211;-48.84504655;83748
-26.30598901;-48.84504104;84728
-26.30600426;-48.8450286;85708
-26.30602185;-48.84502605;86736
-26.30603214;-48.84501876;87720
-26.30605141;-48.84501708;88747
-26.30605632;-48.8450095;89727
-26.30606319;-48.84500004;90756
-26.30606658;-48.84498911;91748
-26.30607742;-48.84497529;92730
-26.30607867;-48.84497297;93758
-26.30608851;-48.84497536;94738
-26.30609606;-48.84495846;95717
-26.30609569;-48.84496148;96746
-26.3060924;-48.8449648;97753
-26.30609368;-48.84496601;98732
-26.30609949;-48.84497047;99711
-26.30609846;-48.84497043;100738
-26.30609835;-48.84497038;101718
-26.30609731;-48.844971;102762
-26.30609559;-48.84497203;103747
-26.30609476;-48.84497311;104726
-26.30609419;-48.84497249;105755
-26.30610009;-48.84497004;106736
-26.30610867;-48.84496006;107729
-26.30613164;-48.84494238;108758
-26.30614071;-48.84494662;109738
-26.30619063;-48.84492752;112743
-26.30623964;-48.84494849;113722
-26.3062196;-48.84495897;114750
-26.30621092;-48.8449638;115730
-26.30621274;-48.84494881;116758
-26.30620437;-48.84495505;117737
-26.30621897;-48.84495074;118729
-26.30622709;-48.84494524;119758
-26.3062389;-48.84494119;120738
-26.30623887;-48.84494159;121727
-26.30623897;-48.84494291;122706
-26.30624649;-48.8449441;123734
-26.30626392;-48.84495094;124715
-26.30627765;-48.84495789;125744
-26.30628382;-48.84496402;126869
-26.3062939;-48.84497618;127851
-26.30630356;-48.84497642;128831
-26.30631177;-48.84497258;129811
-26.30631234;-48.84497313;130791
-26.30632212;-48.84496869;131771
-26.30635076;-48.84495954;132751
-26.30636306;-48.84495506;133731
-26.30639775;-48.8449446;134759
-26.30641192;-48.84493956;135737
-26.30641236;-48.84494016;136719
-26.30641536;-48.84493751;137748
-26.30649627;-48.84490466;138728
-26.30653377;-48.8449241;139708
-26.30654001;-48.8449147;140734
-26.30655662;-48.84490067;141762
-26.30656404;-48.84489738;142741
-26.30657154;-48.84489202;143769
-26.30658014;-48.84489937;144748
-26.30658205;-48.84489637;145728
-26.30658638;-48.84489156;146709
-26.30658944;-48.84488897;147736
-26.30659231;-48.84488707;148718
-26.30659429;-48.84488289;149746
-26.30659609;-48.84488418;150726
-26.30659644;-48.84488401;151804
-26.30659709;-48.84488202;152783
-26.30659758;-48.84488109;153764
-26.3066;-48.84488054;154744
-26.30660267;-48.84487982;155724
-26.30660318;-48.84488023;156753
-26.3066088;-48.84487827;157732
-26.30661032;-48.84487788;158759
-26.30661137;-48.84487682;159737
-26.30662033;-48.84487345;160716
-26.30667984;-48.84486123;161743
-26.3067131;-48.84485293;162733
-26.3067557;-48.84484227;163716
-26.30678872;-48.84483248;164744
-26.3068259;-48.84480889;165771
-26.30684644;-48.84480274;166753
-26.30687814;-48.84479057;167732
-26.30690192;-48.84478332;168719
-26.30691622;-48.8447626;169747
-26.30693283;-48.84474675;171741
-26.30693937;-48.84474531;172720
-26.30697804;-48.84478078;173746
-26.30699715;-48.84479852;174726
-26.30702295;-48.84482572;175758
-26.30706237;-48.84486997;176738
-26.30708584;-48.84489963;177717
-26.3071039;-48.8449221;178744
-26.30710868;-48.84492752;179724
-26.30711847;-48.84493041;180752
-26.30712195;-48.84492875;181732
-26.30712443;-48.84493252;182761
-26.30712412;-48.84493423;183741
-26.30712521;-48.84493594;184727
-26.30712535;-48.84493683;185708
-26.30712521;-48.84493758;186736
-26.3071255;-48.84493863;187718
-26.30712563;-48.84493954;188746
-26.30712684;-48.84494637;189727
