latitude;longitude;time
-26.27794026;-48.84967525;0
-26.27793989;-48.84968112;998
-26.27794044;-48.84970544;1991
-26.27793461;-48.84969291;2973
-26.27793202;-48.84968984;3951
-26.27792661;-48.84968875;4929
-26.27792434;-48.84969196;5953
-26.27791582;-48.84969752;6932
-26.277832;-48.84971316;7913
-26.277832;-48.84971316;8891
-26.27779864;-48.84971973;9870
-26.27774795;-48.8497219;10849
-26.27768159;-48.84973502;11828
-26.27760392;-48.84976935;12807
-26.27751433;-48.8497757;13789
-26.27743524;-48.84978878;14768
-26.27734738;-48.84981213;15749
-26.27725469;-48.84982924;16729
-26.27715285;-48.84984816;17709
-26.27704504;-48.84985482;18688
-26.27694401;-48.84986839;19669
-26.27685843;-48.84987643;20649
-26.2767865;-48.84988066;21627
-26.27674889;-48.84993413;22612
-26.27673143;-48.84998782;23591
-26.27672035;-48.85004879;24570
-26.2767262;-48.85012989;25555
-26.27673823;-48.85021439;26533
-26.27674666;-48.85028944;27512
-26.27675443;-48.85035769;28491
-26.27675407;-48.85039708;29469
-26.27675651;-48.85044309;30473
-26.27675529;-48.85047462;31460
-26.27675155;-48.85050432;32438
-26.27674459;-48.85050054;33417
-26.27673839;-48.85049534;34397
-26.27673292;-48.85049116;35385
-26.2767286;-48.85048938;36364
-26.27672368;-48.85048812;37343
-26.27672338;-48.85049132;38323
-26.27670796;-48.85050107;39305
-26.27669836;-48.8505125;40285
-26.27668865;-48.85052212;41264
-26.27667257;-48.85052176;42244
-26.27665585;-48.85052358;43224
-26.27663516;-48.85052838;44204
-26.27664466;-48.85053388;45184
-26.27664884;-48.8505277;46199
-26.27664947;-48.85053554;47186
-26.27665333;-48.85057689;48168
-26.27665838;-48.8506106;49150
-26.27666721;-48.85065749;50132
-26.27667516;-48.85068779;51112
-26.27668993;-48.85070554;52092
-26.2767295;-48.85072847;53072
-26.27676684;-48.85075227;54052
-26.27681763;-48.85076385;55032
-26.27688645;-48.85076882;56013
-26.27697103;-48.85077108;56992
-26.27707103;-48.85076993;57973
-26.27717577;-48.85076259;58952
-26.27728664;-48.85075564;59932
-26.2773906;-48.85074779;60982
-26.27752751;-48.85074805;61961
-26.27766653;-48.85075782;62939
-26.27780505;-48.85076329;63918
-26.27780505;-48.85076329;64896
-26.27791661;-48.85073394;65875
-26.27805215;-48.85072334;66856
-26.27818895;-48.85072091;67835
-26.27832245;-48.85070415;68814
-26.27844926;-48.85068381;69795
-26.27859069;-48.85068679;70776
-26.2787184;-48.85067099;71755
-26.27885565;-48.85066285;72735
-26.27897548;-48.85064739;73717
-26.27910387;-48.85061759;74696
-26.27923233;-48.85060485;75675
-26.27935729;-48.85056962;76655
-26.27949106;-48.85057753;77633
-26.2796323;-48.85057412;78612
-26.27975494;-48.85057417;79591
-26.27986362;-48.85053638;80570
-26.27999527;-48.85052131;81577
-26.28012339;-48.85051149;82556
-26.28026636;-48.85052062;83537
-26.28039704;-48.85050512;84517
-26.2805499;-48.8504958;85499
-26.28069621;-48.85046111;86492
-26.28083416;-48.85042256;87471
-26.28098927;-48.85039964;88450
-26.2811283;-48.85038364;89430
-26.28124922;-48.85037554;90421
-26.28137366;-48.85036551;91411
-26.28148244;-48.85035013;92390
-26.28155447;-48.85034723;93375
-26.28162911;-48.85034538;94354
-26.28170465;-48.85036064;95333
-26.28178045;-48.85035497;96311
-26.28182167;-48.85033447;97290
-26.28188134;-48.85033509;98269
-26.28192265;-48.85032855;99247
-26.28195355;-48.85033101;100227
-26.28196449;-48.8503398;101231
-26.28197483;-48.85032213;102209
-26.28199676;-48.85032099;103190
-26.28202662;-48.85032001;104169
-26.28207336;-48.85031159;105148
-26.28214384;-48.85031622;106127
-26.28220255;-48.85031802;107107
-26.28226433;-48.85029621;108087
-26.28233765;-48.85026989;109069
-26.28242258;-48.85028471;110048
-26.28242258;-48.85028471;111029
-26.28258189;-48.85027997;112011
-26.28267207;-48.85028505;112989
-26.28276897;-48.85027733;113970
-26.28286273;-48.85025394;114948
-26.2829527;-48.8502298;115950
-26.28304303;-48.85023554;116930
-26.28311662;-48.85023172;117908
-26.28311662;-48.85023172;118889
-26.28317504;-48.85025839;119869
-26.28322188;-48.8502424;120847
-26.28325367;-48.85022024;121828
-26.28329915;-48.8502145;122809
-26.2833382;-48.85020924;123788
-26.28337595;-48.85021406;124769
-26.28341461;-48.85021099;125748
-26.28345267;-48.85018214;126734
-26.28351571;-48.85019412;127713
-26.28358779;-48.85018862;128691
-26.28367938;-48.85019392;129680
-26.28376696;-48.85016628;130659
-26.28384142;-48.85013168;131638
-26.28392374;-48.85011264;132617
-26.28401482;-48.85010612;133597
-26.28411103;-48.85009399;134577
-26.28419639;-48.85007855;135557
-26.28427727;-48.8500616;136537
-26.28438836;-48.85007497;137516
-26.284478;-48.85006002;138497
-26.28458873;-48.85006877;139477
-26.28470781;-48.8500789;140456
-26.28481858;-48.85008036;141459
-26.28492768;-48.85005458;142438
-26.28503405;-48.85002062;143417
-26.28512785;-48.84998975;144398
-26.28522653;-48.849961;145377
-26.28532411;-48.8499507;146357
-26.2854353;-48.84994956;147337
-26.28553958;-48.84994371;148316
-26.28565953;-48.8499438;149294
-26.28576662;-48.84994431;150288
-26.28587213;-48.84992296;151279
-26.28597244;-48.84991973;152258
-26.28607296;-48.84991136;153237
-26.28617986;-48.84991189;154217
-26.28630017;-48.84992573;155197
-26.2864084;-48.84990766;156178
-26.28650562;-48.84988011;157156
-26.2866107;-48.84987875;158136
-26.28671135;-48.84986434;159116
-26.28681355;-48.84985663;160094
-26.28692093;-48.84984474;161082
-26.28702095;-48.84982243;162063
-26.28712131;-48.84981048;163047
-26.2872099;-48.84980003;164028
-26.28729867;-48.84978874;165006
-26.28737957;-48.84975916;165996
-26.28749269;-48.84976328;166987
-26.2875938;-48.8497562;167970
-26.28768691;-48.84975999;168950
-26.287785;-48.84976187;169929
-26.287785;-48.84976187;170907
-26.28789173;-48.84976582;171888
-26.28801323;-48.84976927;172867
-26.28812553;-48.84977656;173846
-26.28823655;-48.84978319;174826
-26.2883468;-48.84979725;175806
-26.28843411;-48.84981167;176795
-26.28849173;-48.84981217;177774
-26.28855862;-48.84980493;178759
-26.28861749;-48.84981041;179740
-26.28867943;-48.8498187;180720
-26.28874691;-48.84981455;181702
-26.28880118;-48.84979974;182681
-26.2888785;-48.84980195;183660
-26.28896544;-48.84980578;184639
-26.28907449;-48.84984978;185619
-26.28915173;-48.84985364;186611
-26.28923174;-48.84986226;187589
-26.28930573;-48.84986633;188568
-26.28937693;-48.84987966;189547
-26.28945938;-48.84990847;190533
-26.28952744;-48.84988165;191513
-26.28958446;-48.84985528;192491
-26.28967933;-48.84987848;193471
-26.28977152;-48.84987738;194451
-26.28987004;-48.84989211;195430
-26.28997956;-48.84991412;196422
-26.29010474;-48.84996112;197400
-26.29021813;-48.84998918;198380
-26.29032416;-48.84997895;199358
-26.290436;-48.85000308;200338
-26.29054522;-48.85003014;201321
-26.29064677;-48.85001893;202300
-26.29074315;-48.85002428;203279
-26.29083752;-48.85002294;204257
-26.29094425;-48.85003344;205238
-26.29103713;-48.8500392;206218
-26.29113247;-48.85004426;207207
-26.29121786;-48.85004567;208185
-26.29130128;-48.85004953;209166
-26.29136348;-48.85004016;210154
-26.29143646;-48.85004316;211163
-26.29150949;-48.85004599;212142
-26.29158563;-48.85005084;213121
-26.29166724;-48.8500531;214100
-26.29175992;-48.85005324;215080
-26.2918357;-48.85005964;216064
-26.29189473;-48.85005722;217042
-26.29195551;-48.85006576;218021
-26.29201964;-48.85007469;219003
-26.29207985;-48.85008628;219992
-26.29213646;-48.85008519;220971
-26.29220154;-48.85009826;221953
-26.29226007;-48.85008821;222933
-26.29226007;-48.85008821;223914
-26.29231087;-48.85008362;224893
-26.29238033;-48.85008304;225873
-26.29248197;-48.85010641;226857
-26.29257052;-48.8500928;227836
-26.29266736;-48.8501043;228826
-26.29275001;-48.85010886;229808
-26.29280581;-48.85012285;230792
-26.29284626;-48.85012463;231770
-26.29285049;-48.85013316;232749
-26.29286498;-48.85014695;233727
-26.2928556;-48.85015393;234707
-26.29285605;-48.85015984;235691
-26.29285934;-48.85016029;236674
-26.29287966;-48.85015179;237654
-26.29290473;-48.85014241;238634
-26.29291814;-48.85014377;239615
-26.29293149;-48.85015706;240594
-26.2929638;-48.85015533;241575
-26.29300082;-48.85016469;242554
-26.29309585;-48.85015473;243538
-26.29316738;-48.8501521;244518
-26.29323732;-48.85016605;245497
-26.29330045;-48.85016792;246476
-26.29335176;-48.8501684;247455
-26.29340867;-48.85017126;248434
-26.29346196;-48.85018067;249414
-26.29350985;-48.850178;250392
-26.29354257;-48.85019943;251372
-26.29358119;-48.85019534;252351
-26.2936156;-48.85020001;253330
-26.29365761;-48.85019336;254321
-26.29369562;-48.85017904;255301
-26.29376642;-48.8502058;256281
-26.293829;-48.85020506;257286
-26.29388013;-48.85020333;258265
-26.29393193;-48.85021285;259246
-26.29396917;-48.85021354;260261
-26.29400355;-48.85022067;261240
-26.29403597;-48.85022151;262220
-26.29407642;-48.8502244;263201
-26.29410411;-48.85022732;264181
-26.29412069;-48.85022657;265161
-26.29411482;-48.85022243;266140
-26.29411415;-48.85022405;267126
-26.29411546;-48.85022333;268104
-26.29411607;-48.85022526;269083
-26.29411758;-48.85022837;270066
-26.29411779;-48.85023235;271064
-26.29411978;-48.85023579;272053
-26.29412073;-48.85023836;273032
-26.29412151;-48.85024021;274011
-26.29412085;-48.85024035;274992
-26.29412274;-48.85024154;275971
-26.29412215;-48.8502417;276953
-26.29412215;-48.8502417;277937
-26.29412208;-48.85024226;278919
-26.29412208;-48.85024226;279898
-26.29412207;-48.85024236;280880
-26.29412208;-48.8502424;281859
-26.29412207;-48.85024242;282837
-26.29412207;-48.85024244;283818
-26.29412205;-48.85024245;284799
-26.29412205;-48.85024247;285778
-26.29412204;-48.85024251;286758
-26.29412202;-48.85024252;287748
-26.29412201;-48.85024252;288727
-26.29412199;-48.85024251;289708
-26.29412197;-48.85024249;290687
-26.29412196;-48.85024249;291666
-26.29412196;-48.85024248;292667
-26.29412197;-48.85024248;293648
-26.29412329;-48.85024257;294627
-26.29412699;-48.8502415;295620
-26.29414165;-48.85024008;296600
-26.29417176;-48.85022592;297580
-26.29425989;-48.85023956;298565
-26.29432562;-48.85024495;299544
-26.29438659;-48.85024594;300522
-26.29445364;-48.85024769;301501
-26.29452011;-48.85024752;302480
-26.29458741;-48.85024987;303460
-26.2946427;-48.85025571;304439
-26.29470081;-48.85026507;305419
-26.2947604;-48.85026835;306398
-26.29481567;-48.85027105;307391
-26.29484692;-48.8502778;308371
-26.29488499;-48.85028238;309352
-26.29492387;-48.85028277;310329
-26.29495526;-48.85028297;311308
-26.29499724;-48.85028783;312291
-26.29505503;-48.85029534;313270
-26.29512211;-48.85029832;314248
-26.2951944;-48.85030606;315227
-26.29526912;-48.85031667;316207
-26.2953384;-48.85031752;317188
-26.29541402;-48.85031374;318168
-26.29550745;-48.85031183;319147
-26.29560093;-48.85031194;320135
-26.29568606;-48.85031325;321116
-26.29577601;-48.85031531;322109
-26.2958582;-48.85032345;323089
-26.29594411;-48.85033218;324068
-26.29602564;-48.85033831;325049
-26.29610616;-48.85034645;326028
-26.29618433;-48.85035175;327011
-26.29625701;-48.85035818;327990
-26.2963305;-48.85036155;328968
-26.29640684;-48.85036622;329953
-26.29648193;-48.85036842;330947
-26.2965654;-48.85037429;331926
-26.29665537;-48.85037701;332905
-26.29665537;-48.85037701;333884
-26.29674471;-48.8503854;334863
-26.29683919;-48.85039203;335843
-26.29693264;-48.8503988;336823
-26.2970158;-48.85041014;337823
-26.29710417;-48.85041114;338803
-26.2971917;-48.85042356;339784
-26.2972739;-48.85043191;340764
-26.29735246;-48.85044031;341743
-26.29740962;-48.85044622;342728
-26.29747459;-48.85045234;343709
-26.29752857;-48.85044724;344692
-26.29758052;-48.85045141;345671
-26.29763213;-48.85045736;346650
-26.29768027;-48.85046009;347629
-26.29772729;-48.85045752;348609
-26.29777694;-48.8504557;349590
-26.29783592;-48.85045474;350569
-26.29792695;-48.85046448;351548
-26.29801291;-48.85047234;352528
-26.29809781;-48.8504788;353511
-26.29817448;-48.85048786;354493
-26.2982581;-48.85050853;355473
-26.29835576;-48.8505138;356452
-26.29844886;-48.85053753;357462
-26.29856836;-48.85054731;358441
-26.29867772;-48.85056287;359427
-26.29878071;-48.85057885;360405
-26.29888553;-48.85060411;361385
-26.29896686;-48.85061351;362365
-26.2990252;-48.85060155;363344
-26.29907541;-48.85059115;364327
-26.29910444;-48.85059527;365306
-26.29913455;-48.85059836;366285
-26.29911508;-48.85060623;367265
-26.29911493;-48.85060483;368254
-26.29911318;-48.85060523;369233
-26.29911265;-48.85060741;370211
