latitude;longitude;time
-26.29517429;-48.86477767;908175
-26.29525563;-48.86476518;909166
-26.29533947;-48.86478277;910170
-26.29541011;-48.86477308;911151
-26.295466;-48.86475127;912130
-26.29553191;-48.86475678;913159
-26.29557958;-48.86477566;914146
-26.295602;-48.86476369;915127
-26.29563797;-48.8647765;916155
-26.29566619;-48.86476242;917135
-26.29567541;-48.86476441;918116
-26.29570476;-48.86476121;919144
-26.2957423;-48.86474814;920123
-26.29577372;-48.86479847;921150
-26.29579572;-48.86479477;922129
-26.29580357;-48.86478712;923157
-26.29580714;-48.86477814;924136
-26.29582277;-48.86479285;925116
-26.29582113;-48.86477497;926145
-26.29582167;-48.86480226;927125
-26.29581869;-48.86479773;928153
-26.29582571;-48.86481074;929184
-26.2958238;-48.86481031;930163
-26.29584714;-48.86481921;931142
-26.29585538;-48.8647899;932169
-26.29583847;-48.86479346;933148
-26.29583516;-48.8647773;934126
-26.2958334;-48.86477112;935155
-26.29584544;-48.86476708;936133
-26.29586112;-48.86477248;937161
-26.29587936;-48.8647994;938286
-26.29587979;-48.86482345;939266
-26.29588009;-48.86483407;940246
-26.2958886;-48.86486254;941226
-26.29590348;-48.86488217;942205
-26.29590792;-48.86489103;943184
