latitude;longitude;time
-26.3056925;-48.84130765;0
-26.3057009;-48.84128225;1005
-26.3057088;-48.84127401;2009
-26.30570539;-48.84127335;3006
-26.30569913;-48.84127443;4005
-26.30569913;-48.84127443;4990
-26.30569554;-48.84128069;5972
-26.30569554;-48.84128069;6957
-26.30569468;-48.84128257;7934
-26.30569394;-48.84128887;8912
-26.3056938;-48.84128852;9891
-26.30569327;-48.84129221;10894
-26.3056936;-48.84129401;11889
-26.30569355;-48.84129444;12870
-26.30569354;-48.84129448;13860
-26.30569367;-48.84129425;14838
-26.30569272;-48.8412959;15821
-26.30569249;-48.8412965;16808
-26.30569191;-48.84129743;17796
-26.30569171;-48.84129748;18780
-26.30569128;-48.84129813;19763
-26.30569124;-48.84129812;20761
-26.30569134;-48.84129786;21741
-26.30569115;-48.84129814;22720
-26.30569134;-48.84129758;23703
-26.30569155;-48.84129675;24682
-26.30569128;-48.84129726;25664
-26.30569147;-48.84129632;26647
-26.30569133;-48.84129651;27645
-26.30569144;-48.84129598;28659
-26.30569143;-48.84129587;29682
-26.30569136;-48.84129629;30737
-26.30569139;-48.84129599;31787
-26.30569138;-48.841296;32769
-26.30569142;-48.84129576;33753
-26.30569143;-48.84129548;34742
-26.30569145;-48.84129538;35731
-26.30569145;-48.84129525;36709
-26.30569149;-48.84129532;37693
-26.30569148;-48.84129524;38672
-26.30569148;-48.84129518;39655
-26.30569145;-48.84129524;40657
-26.30569148;-48.84129517;41655
-26.3056915;-48.84129504;42648
-26.30568728;-48.84127324;43639
-26.3057;-48.84120287;44619
-26.3056932;-48.84112819;45596
-26.3056586;-48.84106678;46575
-26.30563573;-48.84102229;47554
-26.30556545;-48.84099957;48536
-26.30551527;-48.84096431;49518
-26.30546177;-48.84093993;50503
-26.30540001;-48.84091118;51482
-26.3053158;-48.84089206;52462
-26.30516289;-48.84092077;53444
-26.30507336;-48.84095586;54422
-26.30498529;-48.84096349;55409
-26.30488316;-48.84096459;56415
-26.30479484;-48.84097231;57410
-26.30469822;-48.84098262;58410
-26.30460509;-48.84098693;59415
-26.30450958;-48.84100247;60425
-26.3044165;-48.84101337;61420
-26.30432247;-48.84102362;62413
-26.30422657;-48.84103608;63412
-26.30412469;-48.84106504;64410
-26.30401928;-48.84109028;65410
-26.30390018;-48.84112395;66416
-26.30381887;-48.8411547;67412
-26.30363598;-48.84123276;68405
-26.30354507;-48.84128486;69403
-26.3034557;-48.84134984;70413
-26.30335965;-48.84139855;71423
-26.30325823;-48.84144447;72432
-26.30315908;-48.84144422;73432
-26.30305627;-48.84147381;74427
-26.30295271;-48.8415055;75429
-26.30286076;-48.84152082;76435
-26.3027313;-48.84150944;77444
-26.30259429;-48.84148131;78451
-26.30246745;-48.84144191;79458
-26.30235181;-48.84143829;80471
-26.30232055;-48.84143873;81475
-26.30229817;-48.84148861;82479
-26.30223182;-48.84149012;83480
-26.30223275;-48.84150675;84478
-26.30222525;-48.84151702;85487
-26.30222525;-48.84151702;86496
-26.30222525;-48.84151702;87498
-26.30222525;-48.84151702;88525
-26.30222525;-48.84151702;89533
-26.30213652;-48.84148514;90534
-26.3021216;-48.84147247;91526
-26.30209776;-48.84147871;92541
-26.30208617;-48.84147819;93539
-26.30209926;-48.84147606;94540
-26.30209129;-48.84148684;95537
-26.30209075;-48.84148619;96532
-26.3020981;-48.84147923;97536
-26.30208656;-48.84148125;98544
-26.30208648;-48.84148166;99542
-26.30208786;-48.84148237;100543
-26.30209403;-48.84147517;101546
-26.30209395;-48.84147769;102551
-26.30209332;-48.84148077;103550
-26.30209362;-48.84148033;104562
-26.30209041;-48.84148159;105556
-26.30209045;-48.84148;106551
-26.30209098;-48.84147972;107551
-26.3020904;-48.84148005;108554
-26.30208995;-48.84148019;109546
-26.30208937;-48.84148051;110545
-26.30208922;-48.84148058;111540
-26.30208909;-48.84148067;112543
-26.30208904;-48.84148067;113550
-26.30208894;-48.84148066;114551
-26.30208849;-48.84148063;115551
-26.30208723;-48.84148055;116593
-26.30208629;-48.84148027;117595
-26.3020857;-48.84147855;118596
-26.30208591;-48.84147833;119602
-26.30208506;-48.84147859;120601
-26.30208335;-48.84147928;121598
-26.30208838;-48.84146857;122591
-26.30204489;-48.84150153;123589
-26.30199676;-48.84151963;124589
-26.30198194;-48.84153139;125588
-26.30196319;-48.8415424;126593
-26.30194705;-48.8415475;127590
-26.30193483;-48.84154915;128609
-26.30192631;-48.84154966;129618
-26.30192188;-48.84155074;130637
-26.30191888;-48.84154939;131653
-26.3019188;-48.84154534;132670
-26.30191719;-48.84154423;133680
-26.30191614;-48.84154386;134687
-26.30191479;-48.84154237;135699
-26.30191398;-48.84154104;136712
-26.30191419;-48.84153955;137726
-26.30191048;-48.8415419;138733
-26.30190776;-48.84154323;139740
-26.30190562;-48.84154006;140748
-26.30190479;-48.84153705;141754
-26.30190528;-48.84153056;142770
-26.30190614;-48.84152463;143768
-26.30190698;-48.84152003;144774
-26.30190732;-48.84151751;145782
-26.30190739;-48.8415161;146802
-26.30190711;-48.84151549;147813
-26.30190654;-48.84151533;148830
-26.30190578;-48.84151534;149841
-26.30190471;-48.84151596;150851
-26.30190368;-48.84151623;151882
-26.30190282;-48.84151627;152895
-26.30190198;-48.8415162;153899
-26.30190125;-48.8415161;154919
-26.30190046;-48.84151593;155933
-26.30189976;-48.8415158;156943
-26.30189921;-48.84151568;157963
-26.3018983;-48.8415154;158975
-26.30189797;-48.84151529;159993
-26.30189678;-48.84151014;161006
-26.30188893;-48.84149885;162019
-26.30188211;-48.84147904;163029
-26.30186913;-48.84143121;164039
-26.3018526;-48.84138161;165050
-26.30182492;-48.8413223;166065
-26.30175825;-48.84123855;167070
-26.30169179;-48.84119972;168097
-26.3016224;-48.84118341;169099
-26.30155499;-48.84117787;170099
-26.30148361;-48.84117767;171114
-26.30142519;-48.84122881;172135
-26.30137211;-48.84129447;173145
-26.30131056;-48.84134447;174156
-26.30124625;-48.84138863;175166
-26.30119255;-48.84147079;176174
-26.30113238;-48.84155051;177181
-26.30105383;-48.84161143;178191
-26.30093911;-48.84169867;179201
-26.30084198;-48.84175454;180211
-26.30073935;-48.84178653;181223
-26.30065774;-48.84180597;182240
-26.30057711;-48.84180782;183249
-26.30052107;-48.84181801;184255
-26.30046013;-48.84182436;185262
-26.30044557;-48.84181209;186270
-26.30041027;-48.84182742;187286
-26.30038251;-48.84183097;188293
-26.30036894;-48.84183926;189300
-26.30036191;-48.84184063;190307
-26.3003504;-48.84183932;191319
-26.30034768;-48.84184485;192326
-26.3003425;-48.84185264;193330
-26.30032804;-48.84185961;194337
-26.300298;-48.84185828;195351
-26.30027863;-48.84186224;196362
-26.30025907;-48.841866;197374
-26.30023784;-48.84187041;198381
-26.300211439999998;-48.84188133;199392
-26.30017865;-48.84189539;200402
-26.30012364;-48.84190515;201412
-26.30006917;-48.84190771;202417
-26.30001546;-48.84190577;203426
-26.29995543;-48.84190214;204426
-26.29977681;-48.84185862;205430
-26.29968883;-48.84186914;206433
-26.29958498;-48.84185225;207454
-26.29950634;-48.84184298;208462
-26.29934245;-48.84187151;209473
-26.29924471;-48.84186776;210482
-26.29912949;-48.84183838;211492
-26.29902328;-48.84182207;212515
-26.29891931;-48.84180913;213534
-26.29881755;-48.84179764;214544
-26.29871524;-48.84178548;215570
-26.29871524;-48.84178548;216581
-26.29871524;-48.84178548;217594
-26.29871524;-48.84178548;218601
-26.29871524;-48.84178548;219609
-26.29871524;-48.84178548;220616
-26.29871524;-48.84178548;221629
-26.29871524;-48.84178548;222638
-26.29871524;-48.84178548;223648
-26.29871524;-48.84178548;224660
-26.29871524;-48.84178548;225673
