latitude;longitude;time
-26.26582308;-48.84489668;0
-26.26593679;-48.84490745;1005
-26.26602426;-48.84493604;1987
-26.26611417;-48.84495583;2976
-26.26620824;-48.8449817;3955
-26.26630046;-48.84499675;4936
-26.26639822;-48.84498782;5915
-26.26639822;-48.84498782;6895
-26.26648219;-48.84498537;7874
-26.26655318;-48.84501144;8854
-26.26662682;-48.84502267;9834
-26.26670359;-48.84503593;10814
-26.26677666;-48.84505447;11794
-26.26684652;-48.84506288;12774
-26.26692586;-48.84506683;13754
-26.26700037;-48.84508346;14734
-26.26707537;-48.84509779;15714
-26.2671401;-48.84510494;16694
-26.26720275;-48.84512592;17675
-26.26725498;-48.84512765;18654
-26.26730725;-48.84513682;19633
-26.26736375;-48.84512783;20615
-26.26740597;-48.84509319;21594
-26.26744231;-48.84506888;22574
-26.26745615;-48.84500484;23554
-26.26745684;-48.84494409;24534
-26.26745751;-48.84487255;25514
-26.26745769;-48.84478585;26494
-26.26745582;-48.84468867;27474
-26.26746156;-48.84459262;28455
-26.26746192;-48.84450191;29434
-26.26746739;-48.8444118;30414
-26.26747548;-48.84431505;31399
-26.26746885;-48.84421862;32390
-26.26747419;-48.84412047;33392
-26.26747728;-48.84401847;34371
-26.26748868;-48.84391086;35351
-26.26748799;-48.8438023;36331
-26.26748606;-48.8436873;37310
-26.26748748;-48.84357027;38291
-26.26748954;-48.84345346;39272
-26.26748582;-48.84333353;40255
-26.2674883;-48.84321241;41236
-26.26749346;-48.84308814;42215
-26.26749281;-48.84298332;43194
-26.2674904;-48.84287667;44174
-26.26749161;-48.84277986;45153
-26.26749655;-48.84268623;46242
-26.26751124;-48.84259907;47224
-26.26755765;-48.84253864;48204
-26.26761158;-48.84248181;49184
-26.26767017;-48.84242587;50164
-26.26772841;-48.84237825;51154
-26.26779243;-48.8423298;52133
-26.26786007;-48.84228145;53114
-26.26794405;-48.84222353;54094
-26.26802412;-48.84217434;55074
-26.26809465;-48.84213035;56055
-26.2681742;-48.8420556;57034
-26.26825848;-48.8419913;58015
-26.26831913;-48.84191119;58995
-26.26840183;-48.84184012;59986
-26.26846982;-48.84175975;60975
-26.26854412;-48.84167834;61955
-26.26861585;-48.84159089;62935
-26.2686973;-48.84150176;63915
-26.26877247;-48.84140366;64896
-26.26877247;-48.84140366;65876
-26.26886228;-48.84130747;66855
-26.26896239;-48.84120392;67835
-26.26905722;-48.84110647;68817
-26.26914716;-48.84100727;69797
-26.26921843;-48.84090291;70806
-26.26932704;-48.84079722;71784
-26.26942652;-48.8406897;72764
-26.26952467;-48.84059137;73742
-26.26962095;-48.84048009;74721
-26.26972865;-48.84038738;75700
-26.26982991;-48.84028815;76680
-26.26993092;-48.84018936;77659
-26.27003349;-48.84009341;78649
-26.27011731;-48.83998261;79637
-26.27021686;-48.8398951;80620
-26.27030347;-48.83980496;81599
-26.27039086;-48.83972334;82578
-26.27046943;-48.8396366;83559
-26.27053853;-48.83955498;84539
-26.27061045;-48.83948322;85519
-26.2706823;-48.83940789;86499
-26.27074698;-48.83933959;87480
-26.2708086;-48.8392712;88459
-26.27087354;-48.8392072;89439
-26.2709303;-48.83914785;90420
-26.27098784;-48.83908442;91399
-26.27103922;-48.83902987;92391
-26.27108407;-48.83898991;93384
-26.27112167;-48.83895192;94362
-26.27115225;-48.83890443;95341
-26.2712131;-48.83885476;96321
-26.27126674;-48.83880845;97300
-26.27131482;-48.83875485;98290
-26.27136118;-48.83870038;99269
-26.27140714;-48.83864436;100250
-26.27144637;-48.83860748;101230
-26.27148205;-48.83856679;102211
-26.27153119;-48.83851221;103190
-26.2715813;-48.83845234;104170
-26.27165006;-48.83838561;105150
-26.27172014;-48.83829991;106130
-26.27178975;-48.83822189;107109
-26.27186057;-48.83814591;108090
-26.27193414;-48.83806378;109069
-26.2720136;-48.83798998;110050
-26.27209307;-48.83791693;111029
-26.27216534;-48.83781822;112009
-26.27226423;-48.83773893;112990
-26.27235713;-48.83766057;113972
-26.27244969;-48.83756695;114953
-26.27253919;-48.83747831;115947
-26.27262369;-48.83739819;116931
-26.2726999;-48.8373066;117911
-26.2727727;-48.83722411;118900
-26.2727727;-48.83722411;119879
-26.2728358;-48.83715873;120858
-26.27288663;-48.83711323;121838
-26.27294162;-48.83706926;122818
-26.272996;-48.83701273;123798
-26.27306397;-48.83693826;124777
-26.27312557;-48.83683849;125759
-26.27319647;-48.83673677;126738
-26.27326492;-48.83665039;127718
-26.27333944;-48.83655329;128699
-26.27340847;-48.83644253;129679
-26.27347996;-48.83633399;130658
-26.27355556;-48.83620571;131638
-26.27363235;-48.83608512;132617
-26.27371648;-48.8359662;133601
-26.27379661;-48.83583282;134580
-26.27387691;-48.83571328;135559
-26.27395664;-48.83557161;136538
-26.27402739;-48.83543947;137519
-26.27410881;-48.83530723;138498
-26.27419382;-48.83517967;139479
-26.274272;-48.83505802;140459
-26.27435151;-48.83493392;141446
-26.2744314;-48.83481157;142427
-26.27451057;-48.83468209;143408
-26.27459273;-48.83455835;144387
-26.27466929;-48.83443437;145367
-26.27474462;-48.83431582;146346
-26.27481604;-48.83419736;147326
-26.27488029;-48.83409438;148315
-26.27494157;-48.83399852;149295
-26.27498731;-48.8339198;150274
-26.27504281;-48.8338404;151255
-26.2750911;-48.83375723;152247
-26.27512379;-48.83371325;153242
-26.27515494;-48.83366543;154222
-26.27517615;-48.83363579;155201
-26.27519395;-48.83361664;156182
-26.27520171;-48.83360425;157162
-26.27521407;-48.83359275;158142
-26.27522426;-48.8335892;159121
-26.27522848;-48.83359229;160100
-26.27523506;-48.83359639;161078
-26.27523817;-48.83359653;162057
-26.27524055;-48.83359739;163036
-26.27524283;-48.83359991;164016
-26.27524295;-48.83360204;164996
-26.27524412;-48.83360192;165975
-26.27524458;-48.83360301;166954
-26.27524683;-48.83360269;167936
-26.27524683;-48.83360269;168918
-26.27524812;-48.83359587;169904
-26.27524812;-48.83359587;170883
-26.27525002;-48.83359154;171871
-26.27525493;-48.83359133;172850
-26.27525543;-48.83359133;173830
-26.27525492;-48.83358948;174811
-26.2752541;-48.83359156;175791
-26.2752531;-48.83358964;176770
-26.27525143;-48.83358841;177748
-26.27525105;-48.83358796;178729
-26.27525066;-48.83358792;179709
-26.27525087;-48.83358649;180689
-26.27525196;-48.83358622;181669
-26.27525087;-48.83358623;182649
-26.2752513;-48.83358546;183632
-26.27525033;-48.83358381;184611
-26.27525037;-48.83358301;185590
-26.27525056;-48.83358305;186573
-26.2752506;-48.83358297;187553
-26.2752506;-48.83358295;188537
-26.27525062;-48.83358295;189517
-26.27525063;-48.83358295;190497
-26.27525063;-48.83358294;191477
-26.27525063;-48.83358293;192458
-26.27525064;-48.83358292;193440
-26.27525064;-48.83358293;194418
-26.27525063;-48.83358292;195397
-26.27525062;-48.83358293;196377
-26.27525061;-48.83358292;197357
-26.27525061;-48.8335829;198349
-26.27525061;-48.83358289;199330
-26.27525061;-48.83358289;200310
-26.27525061;-48.83358289;201290
-26.27525061;-48.83358289;202271
-26.27525062;-48.8335829;203250
-26.27525061;-48.8335829;204231
-26.27525061;-48.8335829;205211
-26.27525061;-48.8335829;206190
-26.27525061;-48.83358291;207170
-26.27525062;-48.8335829;208151
-26.27525182;-48.83358243;209131
-26.27525421;-48.8335839;210110
-26.2752574;-48.83358292;211091
-26.27530762;-48.83358805;212077
-26.27533527;-48.83359501;213076
-26.27537201;-48.83360578;214055
-26.27541972;-48.8336272;215033
-26.27548102;-48.83366074;216012
-26.27554652;-48.83369951;216992
-26.27561059;-48.83372323;217972
-26.27566443;-48.83371629;218952
-26.27570114;-48.83369763;219932
-26.27573054;-48.83365482;220912
-26.27575698;-48.83359438;221891
-26.27575698;-48.83359438;222872
-26.27578556;-48.83350201;223851
-26.27582694;-48.83340778;224831
-26.27586544;-48.83329192;225812
-26.27590668;-48.83315484;226792
-26.27593829;-48.83303964;227771
-26.27597603;-48.83292803;228751
-26.2760184;-48.83281873;229731
-26.27604954;-48.8327145;230712
-26.27608245;-48.83261033;231691
-26.27611354;-48.83251698;232672
-26.27613943;-48.83243798;233652
-26.27616361;-48.83237531;234631
-26.27618572;-48.83231366;235612
-26.27620308;-48.83227113;236591
-26.27621079;-48.83225049;237571
-26.27621132;-48.83223544;238552
-26.27620952;-48.8322116;239531
-26.2761981;-48.83217367;240511
-26.27618033;-48.83212643;241491
-26.27615561;-48.83208705;242471
-26.27608291;-48.83202757;243450
-26.2760347;-48.8319732;244429
-26.27596711;-48.83188667;245410
-26.27590729;-48.83180842;246391
-26.27585408;-48.83171336;247371
-26.2757958;-48.83162401;248351
-26.2757392;-48.8315239;249331
-26.27567929;-48.83141767;250311
-26.27562106;-48.83130744;251291
-26.2755567;-48.83119102;252271
-26.27548312;-48.83105606;253251
-26.27540413;-48.83091092;254230
-26.27531965;-48.83076296;255209
-26.2752279;-48.83061744;256188
-26.27513574;-48.8304751;257168
-26.2750406;-48.83032888;258151
-26.27494812;-48.83018291;259130
-26.2748544;-48.83003646;260109
-26.27476439;-48.82988928;261088
-26.27467483;-48.82974819;262068
-26.27459031;-48.82961143;263048
-26.2745091;-48.82947012;264027
-26.27442305;-48.82932087;265008
-26.27432956;-48.82917557;265995
-26.27425246;-48.82903584;266975
-26.2741572;-48.82889038;267956
-26.27406939;-48.82873217;268935
-26.27398298;-48.82857818;269915
-26.27389507;-48.82842621;270895
-26.27389507;-48.82842621;271878
-26.27382151;-48.82828179;272886
-26.27374075;-48.82814259;273877
-26.2736875;-48.82800102;274857
