latitude;longitude;time
-26.25452477;-48.84907686;1361123
-26.25452478;-48.84907696;1362126
-26.25452483;-48.84907718;1363108
-26.25452486;-48.84907731;1364087
-26.25452489;-48.84907743;1365066
-26.25452492;-48.84907758;1366096
-26.25452499;-48.8490778;1367135
-26.25452505;-48.84907803;1368130
-26.25452509;-48.84907822;1369117
-26.25452517;-48.84907852;1370096
-26.25452525;-48.84907877;1371074
-26.25452531;-48.84907895;1372103
-26.2545254;-48.8490792;1373083
-26.25452549;-48.84907956;1374064
-26.25452555;-48.84907983;1375092
-26.25452563;-48.84908013;1376073
-26.25452573;-48.84908052;1377052
-26.25452577;-48.84908068;1378091
-26.25452584;-48.8490809;1379070
-26.25452594;-48.84908121;1380098
-26.25452599;-48.8490814;1381078
-26.25452607;-48.84908173;1382057
-26.25452611;-48.84908193;1383086
-26.25452612;-48.84908203;1384068
-26.25452616;-48.84908219;1385046
-26.25452622;-48.84908235;1386076
-26.25452627;-48.84908252;1387056
-26.25452635;-48.84908277;1388085
-26.25452645;-48.849083;1389064
-26.25452651;-48.84908324;1390092
-26.25452654;-48.84908338;1391070
-26.25452656;-48.84908351;1392098
-26.2545266;-48.84908369;1393077
-26.25452661;-48.8490838;1394104
-26.25452665;-48.84908394;1395084
-26.25452664;-48.84908399;1396064
-26.25452668;-48.84908413;1397094
-26.25452673;-48.8490843;1398074
-26.25452675;-48.84908438;1399103
-26.25452679;-48.84908449;1400082
-26.25452681;-48.84908457;1401062
-26.25452681;-48.84908467;1402091
-26.25452683;-48.84908478;1403072
-26.25452684;-48.84908489;1404100
-26.25452683;-48.84908501;1405080
-26.25452683;-48.84908512;1406109
-26.25452684;-48.84908528;1407088
-26.25452684;-48.8490855;1408069
-26.25452692;-48.84908578;1409049
-26.25452694;-48.84908601;1410078
-26.25452693;-48.84908616;1411057
-26.25452695;-48.84908637;1412086
-26.25452698;-48.84908661;1413066
-26.25452699;-48.84908676;1414096
-26.25452698;-48.84908709;1415076
-26.25452696;-48.84908736;1416057
-26.25452694;-48.84908752;1417086
-26.25452699;-48.84908773;1418065
-26.25452701;-48.849088;1419094
-26.25452703;-48.84908826;1420075
-26.25452706;-48.84908862;1421104
-26.25452713;-48.84908897;1422083
-26.25452718;-48.84908923;1423064
-26.25452723;-48.84908948;1424093
-26.25452728;-48.84908972;1425072
-26.25452729;-48.8490898;1426053
-26.25452735;-48.84908996;1427081
-26.25452739;-48.84909013;1428078
-26.25452744;-48.84909025;1429064
-26.25452749;-48.84909037;1430093
-26.25452752;-48.84909044;1431072
-26.25452755;-48.84909057;1432100
-26.25452758;-48.8490907;1433081
-26.25452762;-48.84909086;1434110
-26.25452765;-48.84909099;1435089
-26.25452772;-48.84909121;1436069
-26.25452779;-48.84909141;1437067
-26.25452784;-48.84909151;1438096
-26.25452789;-48.8490917;1439075
-26.25452793;-48.84909188;1440102
-26.254528;-48.84909208;1441081
-26.25452806;-48.84909227;1442110
-26.2545281;-48.84909239;1443089
-26.2545282;-48.84909267;1444068
-26.25452829;-48.84909292;1445046
-26.25452838;-48.84909315;1446074
-26.25452841;-48.84909328;1447060
-26.2545285;-48.84909361;1448088
-26.25452855;-48.84909386;1449067
-26.25452861;-48.8490941;1450094
-26.25452865;-48.84909435;1451073
-26.25452864;-48.84909447;1452103
-26.25452862;-48.84909467;1453082
-26.25452861;-48.84909473;1454062
-26.25452862;-48.84909489;1455092
-26.25452863;-48.84909492;1456072
-26.25452863;-48.84909499;1457101
-26.25452863;-48.8490951;1458081
-26.25452864;-48.84909518;1459109
-26.25452864;-48.84909538;1460089
-26.25452866;-48.84909545;1461069
-26.25452868;-48.84909557;1462049
-26.25452868;-48.84909567;1463078
-26.25452865;-48.84909571;1464107
-26.25452865;-48.84909586;1465086
-26.25452865;-48.84909599;1466067
-26.25452864;-48.84909621;1467095
-26.25452865;-48.84909634;1468075
-26.25452868;-48.84909651;1469055
-26.25452869;-48.84909666;1470082
-26.25452867;-48.84909681;1471110
-26.25452868;-48.84909693;1472090
-26.25452869;-48.84909704;1473071
-26.25452871;-48.84909704;1474100
-26.25452875;-48.84909717;1475079
-26.25452878;-48.84909736;1476059
-26.2545288;-48.84909747;1477088
-26.25452881;-48.84909748;1478067
-26.25452881;-48.84909751;1479095
-26.25452885;-48.84909768;1480077
-26.25452892;-48.84909785;1481057
-26.25452896;-48.84909804;1482086
-26.254529;-48.8490981;1483065
-26.25452905;-48.84909823;1484058
-26.25452914;-48.84909841;1485085
-26.25452919;-48.84909854;1486065
-26.25452919;-48.84909855;1487095
-26.25452925;-48.84909874;1488094
-26.25452929;-48.84909883;1489084
-26.25452931;-48.8490989;1490063
-26.25452934;-48.84909902;1491091
-26.25452936;-48.84909917;1492071
-26.25452943;-48.84909937;1493100
-26.25452947;-48.84909951;1494080
-26.25452954;-48.84909967;1495110
-26.25452956;-48.84909981;1496090
-26.25452959;-48.84909999;1497075
-26.25452964;-48.84910012;1498056
-26.25452964;-48.84910027;1499086
-26.25452967;-48.84910045;1500064
-26.25452971;-48.84910071;1501092
-26.25452978;-48.84910098;1502071
-26.25452981;-48.84910115;1503099
-26.25452986;-48.84910136;1504080
-26.25452989;-48.84910148;1505059
-26.2545299;-48.84910162;1506088
-26.25452996;-48.84910189;1507067
-26.25452996;-48.84910202;1508101
-26.25452999;-48.84910223;1509080
-26.25452999;-48.84910226;1510108
-26.25453001;-48.84910245;1511087
-26.25453003;-48.84910261;1512065
-26.25453005;-48.8491027;1513046
-26.25453005;-48.84910277;1514077
-26.25453008;-48.84910283;1515056
-26.25453006;-48.84910283;1516085
-26.25453009;-48.84910296;1517114
-26.25453012;-48.84910313;1518094
-26.25453014;-48.84910327;1519072
-26.25453018;-48.84910338;1520101
-26.25453022;-48.84910353;1521082
-26.25453024;-48.84910361;1522063
-26.25453025;-48.84910375;1523068
-26.25453026;-48.84910381;1524095
-26.25453029;-48.849104;1525074
-26.25453031;-48.84910406;1526053
-26.25453034;-48.84910416;1527082
-26.25453036;-48.84910427;1528111
-26.25453038;-48.84910434;1529090
-26.25453039;-48.8491044;1530070
-26.25453041;-48.84910444;1531099
-26.25453043;-48.84910451;1532078
-26.25453044;-48.84910456;1533068
-26.25453046;-48.84910462;1534243
-26.25453044;-48.8491047;1535226
-26.25453047;-48.84910484;1536205
-26.25453052;-48.84910504;1537183
-26.25453054;-48.84910522;1538163
-26.25453054;-48.84910533;1539142
-26.25453055;-48.84910552;1540121
-26.25453058;-48.84910575;1541103
-26.25453059;-48.84910592;1542092
-26.25453059;-48.84910599;1543079
-26.25453064;-48.84910613;1544060
-26.25453068;-48.84910628;1545096
-26.25453071;-48.84910638;1546076
-26.25453074;-48.84910652;1547056
-26.25453078;-48.84910666;1548098
-26.25453081;-48.84910683;1549087
-26.25453088;-48.84910712;1550066
-26.25453092;-48.84910732;1551095
-26.25453101;-48.84910762;1552074
-26.25453107;-48.8491078;1553132
-26.25453113;-48.84910794;1554111
-26.25453118;-48.84910815;1555091
-26.25453124;-48.84910841;1556072
-26.25453132;-48.84910866;1557100
-26.25453138;-48.84910901;1558081
-26.25453145;-48.8491093;1559109
-26.25453156;-48.84910962;1560090
-26.25453164;-48.84910999;1561069
-26.25453172;-48.84911021;1562099
-26.2545318;-48.84911058;1563078
-26.25453189;-48.84911097;1564058
