latitude;longitude;time
-26.31986316;-48.87812749;12139
-26.31987393;-48.87813088;13678
-26.31987169;-48.87813194;14779
-26.31985084;-48.87813282;15782
-26.31982057;-48.87810435;16797
-26.3198003;-48.87810562;17811
-26.31976269;-48.87808954;18809
-26.31973438;-48.87808306;19820
-26.31970494;-48.87807176;20840
-26.31967761;-48.87806608;21830
-26.3196381;-48.87807733;22843
-26.31961598;-48.87806366;23839
-26.3195862;-48.87805385;24840
-26.31955649;-48.87804526;25833
-26.31952807;-48.87803345;26842
-26.31951705;-48.8780377;27846
-26.31947375;-48.87805299;28829
-26.31943174;-48.87805179;29816
-26.31939292;-48.87804268;30799
-26.31936257;-48.87802907;31777
-26.3193291;-48.87801623;32762
-26.31929752;-48.87800284;33757
-26.31926908;-48.87798552;34760
-26.31924809;-48.87795398;35763
-26.31923864;-48.87790507;36741
-26.31928298;-48.87772561;37718
-26.31926203;-48.87764718;38701
-26.31926438;-48.8775313;39680
-26.31925048;-48.87745226;40703
-26.3192716;-48.87733798;41684
-26.31932179;-48.87725715;42871
-26.31939487;-48.87714385;43851
-26.31941345;-48.87705052;44834
-26.31945475;-48.87700034;45818
-26.31947404;-48.87692473;46821
-26.31946719;-48.87685056;47815
-26.31947583;-48.87678152;48811
-26.31950583;-48.87671675;49802
-26.31953834;-48.87665412;50795
-26.31956124;-48.87661082;51787
-26.31955205;-48.87657142;52777
-26.3195736;-48.87644308;53766
-26.31957705;-48.87635597;54768
-26.31958559;-48.8762637;55755
-26.31960909;-48.87616711;56757
-26.31966266;-48.87602298;57754
-26.31970019;-48.87593423;58749
-26.31971836;-48.87583349;59737
-26.31977708;-48.87578111;60742
-26.31981264;-48.87571486;61725
-26.31985334;-48.87565282;62718
-26.31976576;-48.87568332;66766
-26.31975685;-48.87565978;67759
-26.31975715;-48.87560492;68749
-26.31974411;-48.87557335;69739
-26.31973116;-48.87554339;70736
-26.31971621;-48.87551179;71731
-26.31971176;-48.87550733;72722
-26.31970574;-48.8755048;73716
-26.31969387;-48.87548668;74706
