latitude;longitude;time
-26.25348767;-48.87219714;329221
-26.25348718;-48.87220061;330213
-26.25348701;-48.87221254;331210
-26.25348684;-48.87222135;332207
-26.25349443;-48.87224308;333199
-26.25350337;-48.87227964;334186
-26.2535171;-48.8723974;335181
-26.25367437;-48.87243222;336260
-26.25374006;-48.87256632;337254
-26.25379668;-48.87264026;338242
-26.25387002;-48.8728123;339227
-26.25400103;-48.8729366;340220
-26.25411232;-48.87305436;341256
-26.25414925;-48.87317149;342252
-26.25427438;-48.87330839;343251
-26.25433378;-48.87340491;344239
-26.254408;-48.87351733;345229
-26.25447714;-48.87363325;346236
-26.25451281;-48.87377871;347230
-26.25459321;-48.87390111;348232
-26.25475264;-48.87396763;349269
-26.25474842;-48.87428737;350263
-26.25486933;-48.8744359;351269
-26.2549315;-48.87463192;352264
-26.25501793;-48.87477068;353250
-26.25518778;-48.87497158;354238
-26.25528059;-48.87510018;355234
-26.25533693;-48.87528838;356244
-26.25543451;-48.87544314;357237
-26.25552894;-48.87562401;358230
-26.2556202;-48.87577059;359222
-26.25574481;-48.875926;360221
-26.25578917;-48.87610446;361244
-26.25587404;-48.87627403;362242
-26.25595316;-48.8764236;363230
-26.25603913;-48.87657702;364226
-26.25612172;-48.87672535;365212
-26.25623519;-48.87692802;366204
-26.25634703;-48.87714044;367246
-26.2564216;-48.87730934;368237
-26.25650265;-48.87747642;369231
-26.2564973;-48.8776572;370231
-26.25653196;-48.87782476;371220
-26.25659975;-48.87798391;372215
-26.25667619;-48.87813515;373254
-26.2567126;-48.878362;374240
-26.25673118;-48.87859938;375233
-26.25672576;-48.87882966;376230
-26.25675225;-48.87897731;377271
-26.25670175;-48.87912772;378260
-26.25669748;-48.87932089;379257
-26.25668371;-48.87951458;380250
-26.25665646;-48.87974518;381244
-26.25663574;-48.87994827;382232
-26.25661368;-48.88014933;383218
-26.25655775;-48.88029009;384207
-26.2565296;-48.88044377;385205
-26.2563635;-48.88057385;386248
-26.25633432;-48.88076783;387240
-26.25627693;-48.88094386;388234
-26.25622327;-48.88112173;389228
-26.25616023;-48.88128111;390221
-26.25612017;-48.88146874;391218
-26.25606192;-48.88165005;392213
-26.2559977;-48.881853;393256
-26.25594658;-48.8820323;394248
-26.25587395;-48.88221249;395243
-26.25578355;-48.88238645;396232
-26.25572358;-48.88256277;397236
-26.25565335;-48.88273981;398241
-26.25557484;-48.88291642;399231
-26.25551484;-48.88310121;400275
-26.25548332;-48.88330469;401260
-26.25543225;-48.88349744;402251
-26.25536443;-48.88366909;403241
-26.25528358;-48.88382709;404245
-26.2551891;-48.88401117;405242
-26.25513293;-48.88420183;406235
-26.2550648;-48.88438382;407270
-26.25498912;-48.88456632;408262
-26.2549372;-48.88479435;409257
-26.25487656;-48.88493517;410255
-26.25481343;-48.8851223;411258
-26.25475615;-48.88529497;412247
-26.25471854;-48.88545351;413247
-26.25465768;-48.88562508;414241
-26.25459418;-48.88575314;415237
-26.25453406;-48.88590967;416227
-26.25447223;-48.88607937;417216
-26.25441075;-48.88624342;418215
-26.25434907;-48.88641056;419201
-26.25429878;-48.88658151;420193
-26.25423945;-48.88674933;421236
-26.25416142;-48.88692795;422324
-26.25405375;-48.88908789;431209
-26.25406299;-48.88929001;432251
-26.25408376;-48.88948491;433235
-26.25409568;-48.88968361;434225
-26.25415386;-48.88988965;435222
-26.25416972;-48.89009523;436209
-26.25418606;-48.89029923;437244
-26.25420259;-48.89050237;438228
-26.25430263;-48.89079682;439260
-26.25434911;-48.89096739;440239
