latitude;longitude;time
-26.32678691;-48.87519679;37799
-26.32676653;-48.87529737;38796
-26.32677002;-48.87538862;39827
-26.32678101;-48.87549946;40817
-26.32675464;-48.87557946;41827
-26.32674711;-48.87565643;42826
-26.32674154;-48.8757555;43845
-26.32673661;-48.87581849;44859
-26.32673926;-48.87590021;45874
-26.32674159;-48.87598127;47326
-26.32674037;-48.87610567;49334
-26.32665952;-48.87618209;50804
-26.32660054;-48.87617423;51849
-26.32655494;-48.87617893;52848
-26.32648007;-48.87617963;53851
-26.32641313;-48.8762104;54848
-26.32632977;-48.87624048;55846
-26.32614964;-48.87629649;57856
-26.32604021;-48.87629768;58857
-26.32592879;-48.87632933;59856
-26.32580436;-48.87634924;60861
-26.3255696;-48.87639284;62849
-26.32532236;-48.8764211;64835
-26.32520556;-48.87645698;65845
-26.3250853;-48.87648065;66850
-26.32497958;-48.87651175;67850
-26.32484737;-48.87651656;68871
-26.3247247;-48.87650074;69874
-26.32459088;-48.87645378;70880
-26.32446886;-48.876404;71884
-26.32436208;-48.87634009;72885
-26.32423475;-48.87625688;73889
-26.32413095;-48.87619352;74899
-26.3240119;-48.87612832;75904
-26.32376201;-48.87594295;77844
-26.32353133;-48.87576681;79737
-26.32343436;-48.87570128;80795
-26.32330403;-48.8756202;81791
-26.32318013;-48.87553784;82787
-26.32305858;-48.87545355;83780
-26.32293555;-48.87536842;84767
-26.32281337;-48.87528561;85762
-26.32269406;-48.87519077;86756
-26.32257326;-48.87510371;87751
-26.3224526;-48.87501685;88753
-26.32233211;-48.87493014;89736
-26.32220994;-48.87485147;90732
