latitude;longitude;time
-26.29417412;-48.86813868;145484
-26.29405705;-48.86811908;146480
-26.2941732;-48.86802011;147463
-26.29400604;-48.86805694;148499
-26.29390208;-48.8680601;149479
-26.29379714;-48.86806039;150462
-26.29374486;-48.86806392;151441
-26.29371418;-48.86805302;152480
-26.29367455;-48.86803088;153470
-26.29362404;-48.86801796;154461
-26.29356735;-48.86800885;155447
-26.29353229;-48.86798505;156440
-26.29348327;-48.86797117;157430
-26.29344021;-48.8679416;158419
-26.29340501;-48.86789834;159459
-26.2933588;-48.86787346;160437
-26.29345614;-48.86760862;161424
-26.29355056;-48.86754836;162421
-26.29357069;-48.86746798;163418
-26.29362564;-48.86739083;164452
-26.29366751;-48.86732985;165432
-26.29361077;-48.86721929;166517
-26.29360166;-48.86710435;167505
-26.29355835;-48.8669981;168490
-26.29359133;-48.86688743;169522
-26.2935922;-48.86677943;170509
-26.29359397;-48.8666866;171490
-26.29361353;-48.86656937;172473
-26.29360471;-48.86645571;173461
-26.29360265;-48.86633473;174440
-26.29360625;-48.86622502;175470
-26.2936346;-48.86610908;176507
-26.29363624;-48.86599352;177486
-26.29364448;-48.8658674;178513
-26.29366369;-48.86576524;179491
-26.29367139;-48.86566927;180475
-26.29367852;-48.8655682;181458
-26.29370749;-48.86548178;182441
-26.29374719;-48.86541232;183424
-26.29371223;-48.86542924;184451
-26.29371749;-48.86540361;185486
-26.29369855;-48.86536871;186468
-26.29369116;-48.86532854;187450
-26.29367607;-48.86534856;188433
-26.29366857;-48.86532812;189467
-26.29367328;-48.86531683;190447
-26.29366163;-48.86529682;191443
-26.29366074;-48.86531851;192433
-26.29366869;-48.86536758;193463
-26.29368624;-48.86540812;194543
-26.2936894;-48.86539254;195538
-26.29369768;-48.8653564;196572
-26.29370372;-48.86526117;198536
-26.29370443;-48.86518151;199524
-26.29372477;-48.86505953;200549
-26.29372781;-48.86497588;201534
-26.29374269;-48.86491934;202529
-26.29375148;-48.8648242;203524
-26.29376126;-48.86472859;204513
-26.29376427;-48.86464449;205542
-26.29377295;-48.86453635;206523
-26.29377265;-48.8644351;207601
-26.29377047;-48.86431008;208589
-26.29377254;-48.8641928;209572
-26.29378395;-48.86408732;210555
-26.29378369;-48.86396973;211535
-26.29379474;-48.86386422;212574
-26.29379591;-48.86364856;214540
-26.29380664;-48.86354135;215529
-26.29381127;-48.86342297;216525
-26.29382595;-48.86328716;217518
-26.29383365;-48.86314416;218497
-26.29384394;-48.86302179;219576
-26.29385908;-48.86275885;221542
-26.29386717;-48.86262991;222521
-26.29388288;-48.862499;223559
-26.29389415;-48.86236453;224548
-26.29390394;-48.86223687;225532
