latitude;longitude;time
-26.30576452;-48.84380364;435410
-26.30575175;-48.8437752;436433
-26.30574081;-48.84374808;437441
-26.30573222;-48.84371742;438447
-26.30572877;-48.84368902;439455
-26.30572829;-48.84366153;440465
-26.3057334;-48.8436322;441467
-26.3057285;-48.84361026;442474
-26.30572203;-48.84358939;443474
-26.30572015;-48.84356908;444490
-26.3057238;-48.84354954;445495
-26.30573107;-48.84352552;446566
-26.3057365;-48.84351028;447578
-26.3057434;-48.84349298;448595
-26.30575057;-48.84347608;449639
-26.30575721;-48.84345622;450651
-26.30576598;-48.84343784;451658
-26.30577221;-48.84342187;452664
-26.3057747;-48.84341473;453681
-26.3057761;-48.84340757;454694
-26.30577666;-48.84339479;455705
-26.30577559;-48.84338029;456729
-26.30577513;-48.84336599;457736
-26.30577823;-48.84334418;458768
-26.30578263;-48.84332109;459785
-26.30578684;-48.84329327;460797
-26.30578823;-48.84326257;461834
-26.30579037;-48.84323662;462848
-26.30578909;-48.84322042;463858
-26.30578792;-48.84320679;464874
-26.30578591;-48.84319854;465885
-26.30578439;-48.84318993;466901
-26.30578401;-48.84318052;467909
-26.30578366;-48.84317126;468916
-26.30578395;-48.84316231;469923
-26.30578441;-48.84315371;470945
-26.30578398;-48.84314385;471988
-26.30578085;-48.84313738;472997
-26.30578027;-48.84312477;473985
-26.30576989;-48.84312107;474995
-26.30575423;-48.84310226;476015
-26.30573709;-48.84308648;477024
-26.3057243;-48.84307271;478033
-26.30571816;-48.84305708;479047
-26.30571432;-48.8430413;480054
-26.30571356;-48.8430276;481066
-26.30571348;-48.84301546;482075
-26.30571287;-48.84300308;483085
-26.30571287;-48.84298758;484093
-26.30571312;-48.8429738;485102
-26.30571297;-48.84296058;486113
-26.30571528;-48.84294121;487115
-26.30572793;-48.8429161;488130
-26.30573663;-48.84289861;489137
-26.30574392;-48.84288475;490150
-26.30574426;-48.84286792;491161
-26.30574824;-48.84285806;492179
-26.30573557;-48.84284541;493209
-26.305718;-48.84282998;494220
-26.3056986;-48.84281788;495227
-26.30568221;-48.84280377;496243
-26.30567851;-48.84278328;497268
-26.30567757;-48.84276465;498274
-26.30567944;-48.84274394;499282
-26.30567964;-48.84272485;500287
-26.30567632;-48.84271011;501295
-26.30567379;-48.84269814;502325
-26.30566753;-48.84268955;503334
-26.30566008;-48.84268222;504347
-26.30564299;-48.84266817;505388
-26.30564728;-48.8426532;506407
-26.30564844;-48.8426383;507412
-26.30564766;-48.84262467;508422
-26.30564029;-48.84261654;509425
-26.3056345;-48.84260795;510435
-26.30562644;-48.84260206;511445
-26.30562353;-48.84258914;512453
-26.30562138;-48.84257544;513464
-26.30562039;-48.84255731;514463
-26.30562192;-48.84253976;515471
-26.30562336;-48.84252484;516485
-26.30562522;-48.84251397;517497
-26.30562929;-48.84249842;518570
-26.30563518;-48.84247753;519585
-26.30564263;-48.84245837;520583
-26.30564939;-48.84243257;521596
-26.30565995;-48.84240605;522608
-26.30566668;-48.84238259;523619
-26.30567849;-48.84236103;524635
-26.30568677;-48.84233967;525647
-26.30569161;-48.84231772;526664
-26.30569299;-48.84229685;527675
-26.30569485;-48.84227767;528693
-26.30569572;-48.84226526;529698
-26.30569756;-48.84225474;530700
-26.30569765;-48.84224754;531704
-26.30569799;-48.84223971;532707
-26.3056975;-48.84223037;533713
-26.30569733;-48.8422207;534725
