latitude;longitude;time
-26.26614364;-48.84832683;0
-26.26614225;-48.84832739;997
-26.26614363;-48.84832682;1994
-26.26614499;-48.84832655;2991
-26.26614499;-48.84832661;3982
-26.26614703;-48.84832589;4983
-26.26614692;-48.84832591;5985
-26.2661466;-48.84832601;6972
-26.2661466;-48.84832601;7974
-26.26614567;-48.84832632;8975
-26.26614592;-48.84832634;9970
-26.26614592;-48.84832634;10959
-26.26614592;-48.84832634;11946
-26.26614592;-48.84832634;12926
-26.26614592;-48.84832634;13906
-26.26614592;-48.84832634;14887
-26.26614592;-48.84832634;15866
-26.26614592;-48.84832634;16849
-26.26614592;-48.84832634;17829
-26.26614592;-48.84832634;18808
-26.26614592;-48.84832634;19787
-26.26614592;-48.84832634;20768
